time	rss	kernel
0	643072	167936
100657876	10371072	446464
200672804	17055744	479232
300675568	23216128	516096
400672139	28934144	548864
500673568	34111488	561152
600648927	38612992	593920
700675131	42864640	618496
800680224	46796800	626688
900679724	50376704	651264
1000679450	54054912	655360
1100677861	57221120	679936
1200672743	60370944	692224
1300676950	63184896	712704
1400662788	65933312	720896
1500672854	68534272	733184
1600669246	71286784	753664
1700672170	73719808	757760
1800673333	76083200	761856
1900674326	78536704	786432
2000674256	80752640	790528
2100671449	83054592	794624
2200679702	84926464	815104
2300662452	87027712	819200
2400663248	88801280	823296
2500666745	90976256	827392
2600667070	92381184	843776
2700667597	94183424	847872
2800664814	95969280	851968
2900667022	97329152	856064
3000669447	98934784	876544
3100657252	100560896	876544
3200666763	101920768	880640
3300666185	102981632	884736
3400662118	104841216	884736
3500666881	106340352	905216
3600666483	108081152	909312
3700667696	109154304	909312
3800668947	110780416	913408
3900667237	112201728	917504
4000665964	113225728	937984
4100652955	114315264	937984
4200664629	115654656	942080
4300667467	117022720	942080
4400662598	118087680	946176
4500667427	119320576	950272
4600670094	120360960	966656
4700667501	121671680	970752
4800666542	122695680	970752
4900666905	124116992	974848
5000664985	125333504	974848
5100683364	126251008	978944
5200667829	127234048	995328
5300667443	128716800	999424
5400664979	129536000	1003520
5500668899	130797568	1003520
5600668759	131690496	1007616
5700668848	132558848	1007616
5800663585	133394432	1007616
5900666558	134782976	1028096
6000667476	135999488	1032192
6100661347	136822784	1032192
6200662256	138125312	1036288
6300668351	139067392	1036288
6400662942	139862016	1044480
6500666003	141053952	1060864
6600666304	141983744	1064960
6700664250	142807040	1064960
6800665820	143900672	1069056
6900665586	144842752	1069056
7000662955	145809408	1073152
7100657092	146890752	1089536
7200666338	147599360	1093632
7300668373	148844544	1093632
7400661535	149778432	1097728
7500667406	150593536	1097728
7600665300	151834624	1101824
7700669662	152653824	1101824
7800668160	153690112	1105920
7900665244	154365952	1122304
8000661776	155242496	1126400
8100654993	156123136	1126400
8200660524	156925952	1126400
8300666067	157769728	1130496
8400657026	158703616	1130496
8500664519	159588352	1134592
8600661425	160411648	1134592
8700659687	161210368	1155072
8800667318	161779712	1155072
8900667980	162525184	1155072
9000665924	163733504	1159168
9100666476	164577280	1163264
9200668124	165113856	1163264
9300659798	166051840	1163264
9400657676	166141952	1163264
9500662882	170188800	1167360
9600674431	173858816	1187840
9700671658	175955968	1191936
9800672748	177500160	1196032
9900674453	178900992	1216512
10000668841	180047872	1216512
10100684416	181141504	1220608
10200657269	182018048	1220608
10300675011	182894592	1224704
10400669462	183832576	1224704
10500674883	184823808	1245184
10600675137	185675776	1245184
10700671084	186261504	1249280
10800685619	187105280	1249280
10900679266	187768832	1249280
11000674622	188342272	1253376
11100665702	188956672	1253376
11200669189	189464576	1253376
11300669368	189865984	1257472
11400670227	190427136	1257472
11500670363	190963712	1273856
11600671701	191619072	1273856
11700668777	192008192	1277952
11800673062	192454656	1277952
11900672225	192978944	1277952
12000671642	193196032	1277952
12101146968	193499136	1277952
12200673653	193933312	1282048
12300674798	194314240	1282048
12401089035	194838528	1282048
12500675537	195260416	1282048
12601140650	195563520	1286144
12700653675	195850240	1286144
12800672488	196325376	1286144
12900676414	196620288	1286144
13000674599	196988928	1310720
13100674640	197341184	1314816
13200663040	197705728	1314816
13300666437	198156288	1314816
