time	rss	kernel
0	720896	221184
100574135	12783616	479232
200606225	27594752	561152
300608870	55169024	679936
400610844	62115840	716800
500599470	72077312	753664
600596316	77975552	778240
700604815	87805952	835584
800605165	87805952	835584
900602441	87805952	835584
1000614478	88481792	847872
1100616450	94380032	876544
1200612278	91754496	876544
1300607343	93458432	876544
1400614223	149385216	1097728
1500601846	158691328	1130496
1600605211	158691328	1130496
1700606923	298151936	1728512
1800614653	442593280	2326528
1900608296	442593280	2326528
2000607967	442593280	2326528
2100595610	442593280	2326528
2200609529	442593280	2326528
2300605082	445198336	2355200
2400605382	446230528	2363392
2500604136	450277376	2371584
2600606780	128421888	1814528
2700601602	148676608	1826816
2800592304	168402944	1826816
2900604882	170893312	1826816
3000598535	171679744	1826816
3100600384	176136192	1826816
3200600815	177053696	1826816
3300596755	178102272	1826816
3400605178	182927360	1826816
3500588898	182927360	1826816
3600599776	182927360	1826816
3700600735	182927360	1826816
3800602813	182927360	1826816
3900602823	182927360	1826816
4000601647	171982848	1826816
4100610958	171982848	1826816
4200600304	163209216	1826816
4300601481	163610624	1826816
4400598854	163598336	1826816
4500598565	163590144	1826816
4600599391	163659776	1826816
4700597884	163303424	1826816
4800601619	159653888	1826816
4900596822	160428032	1826816
5000601656	160006144	1826816
5100600616	160088064	1826816
5200605231	160038912	1826816
5300597647	160120832	1826816
5400601717	160071680	1826816
5500594401	160018432	1826816
5600609294	160104448	1826816
5700598572	159019008	1826816
5800609234	168194048	1826816
5900615855	168194048	1826816
6000614728	168194048	1826816
6100605402	168194048	1826816
6200614721	168194048	1826816
6300614039	168194048	1826816
6400601258	159518720	1826816
6500596198	159338496	1826816
6600603670	159313920	1826816
6700610934	160735232	1826816
6800621052	158265344	1826816
6900608784	158183424	1826816
7000615028	158183424	1826816
7100607706	158236672	1826816
7200601424	158240768	1826816
7301037271	158289920	1826816
7400593236	158212096	1826816
7500596486	158261248	1826816
7600597053	158228480	1830912
7700593236	158281728	1830912
7800592597	158199808	1830912
7900597188	158298112	1830912
8000596451	158265344	1830912
8100598758	158318592	1830912
8200607038	170516480	1830912
8300613538	170516480	1830912
8400619805	170516480	1830912
8500616557	170516480	1830912
8600611957	170516480	1830912
8700616056	170516480	1830912
8800612281	170516480	1830912
8900611383	160706560	1830912
9000609388	336736256	2142208
9100602007	334917632	2174976
9200597770	288727040	2174976
9300602742	352165888	2207744
9400606339	352165888	2207744
9500618039	352165888	2207744
9601040061	352165888	2207744
9700602811	352165888	2207744
9800604674	352165888	2207744
9900608276	352165888	2207744
10000599398	352165888	2207744
10100595615	352165888	2207744
10200608469	352165888	2207744
10300604724	352165888	2207744
10400603654	352165888	2207744
10500597526	352165888	2207744
10600600173	352165888	2207744
10701417633	352165888	2207744
10800602210	352165888	2207744
10900603451	352165888	2207744
11000606003	352165888	2207744
11100604964	352165888	2207744
11200603243	352165888	2207744
11300603843	352165888	2207744
11400602090	352165888	2207744
11500602063	352165888	2207744
11600598097	352165888	2207744
11700602578	352165888	2207744
11800604031	352165888	2207744
11900604346	352165888	2207744
12000595976	352165888	2207744
12100605772	451563520	2637824
12200597782	288411648	2605056
12300607230	297541632	2662400
12400609716	129703936	2433024
12500592957	125743104	2351104
12600606168	125706240	2351104
12700608011	125317120	2351104
12800605444	127787008	2351104
12900611410	131100672	2351104
13000611856	131198976	2351104
13100618702	131203072	2351104
13200615490	131235840	2351104
13300612679	131018752	2351104
13400603288	133132288	2351104
13500612770	131506176	2351104
13600608207	131538944	2351104
13700614889	131354624	2351104
13800613568	132775936	2351104
13900611732	131670016	2351104
14000605386	131809280	2351104
14100607917	133296128	2351104
14200609897	131928064	2351104
14300595035	126488576	2351104
14400608831	127918080	2351104
14500609492	127188992	2351104
14600597362	127393792	2351104
14700600756	127590400	2351104
14800595361	127795200	2351104
14900596080	128139264	2351104
15000596672	128376832	2351104
15100596190	128622592	2351104
15200595595	128856064	2351104
15300594754	129085440	2351104
15400595987	129552384	2351104
15500595150	130019328	2351104
15600594514	130486272	2351104
15700594577	130846720	2351104
15800592731	131362816	2351104
15900627055	161509376	2351104
16000610392	193609728	2433024
16100608451	150970368	2367488
16200607970	171655168	2367488
16300609051	191553536	2367488
16400610659	213942272	2383872
16500593964	230137856	2416640
16600596210	233095168	2416640
16700596954	236019712	2433024
16800599273	238551040	2433024
16900601227	241639424	2433024
17000606035	245088256	2449408
17100605827	245219328	2449408
17200602659	172482560	2449408
17300601660	187355136	2449408
17400608049	187355136	2449408
17500606520	170319872	2449408
17600609366	170319872	2449408
17700601755	170319872	2449408
17800612530	196796416	2449408
17900611082	227975168	2449408
18000593250	230072320	2449408
18100605551	222789632	2449408
18200603004	222789632	2449408
18300605105	222789632	2449408
18400603818	222789632	2449408
18500593694	222789632	2449408
18600594565	222789632	2449408
18700594914	222789632	2449408
18800588484	195600384	2449408
18900616078	197029888	2449408
19000598364	195264512	2449408
19100594727	194969600	2449408
19200604911	194957312	2449408
19300593375	195579904	2449408
19400600354	195567616	2449408
19500596839	195555328	2449408
19601051527	195543040	2449408
19700612175	195543040	2449408
19800613470	195543040	2449408
19900673095	195543040	2449408
20000597550	195543040	2449408
20100982834	195543040	2449408
20200608934	195543040	2449408
20300615678	196984832	2449408
20400606772	194183168	2449408
20500594932	195198976	2449408
20600593216	197623808	2449408
20700602774	199950336	2449408
20800606852	202145792	2449408
20900601130	203587584	2449408
21000608799	203587584	2449408
21100603068	213024768	2449408
21200610839	235782144	2465792
21300604275	235782144	2465792
21400607154	213807104	2465792
21500600372	223207424	2469888
21600601065	210886656	2469888
21700609798	213901312	2469888
21800597558	137826304	2469888
21900608076	135680000	2469888
22000597287	127791104	2469888
22100595042	126963712	2469888
22200609677	127840256	2469888
22300610720	128798720	2469888
22400611127	131018752	2469888
22500605246	131678208	2469888
22600615262	125906944	2469888
22700605497	125313024	2469888
22800597390	126840832	2469888
22900610535	126513152	2469888
23000609545	127561728	2469888
23100606249	127234048	2469888
23200611777	127127552	2469888
