time	rss	kernel
0	622592	151552
100578065	14487552	462848
200599901	14811136	479232
300613859	15310848	483328
400620131	14286848	483328
500613186	19935232	499712
600612113	19238912	524288
700612136	20525056	524288
800600749	16744448	528384
900604932	17035264	528384
1000618852	17076224	528384
1100616851	17514496	528384
1200613349	18591744	528384
1300611293	18767872	532480
1400612307	20213760	532480
1500619090	20881408	532480
1600612967	24489984	536576
1700608210	23953408	557056
1800617893	25071616	557056
1900612585	28082176	561152
2000611545	28151808	565248
2100617743	32129024	589824
2200611055	28590080	589824
2300611999	33972224	593920
2400606322	33116160	606208
2500615971	32223232	606208
2600615469	34955264	610304
2700615766	36188160	614400
2800599272	34496512	634880
2901212995	35348480	634880
3000622441	36880384	634880
3100616050	36487168	634880
3200610759	36151296	634880
3300607513	41107456	638976
3400612273	42401792	643072
3500612827	43184128	663552
3600608308	45981696	667648
3700615311	45707264	667648
3800604376	45555712	671744
3900608191	45973504	671744
4000613137	46440448	675840
4100616115	45649920	692224
4200608834	44793856	692224
4300608924	45133824	692224
4400610365	46313472	692224
4500610432	46612480	692224
4600609063	48308224	696320
4700610622	50282496	700416
4801149131	57053184	729088
4900610506	62095360	761856
5000615657	57221120	774144
5100606453	61161472	774144
5200607579	62980096	778240
5300584324	67567616	782336
5400604258	67063808	782336
5500608385	66514944	782336
5600610866	69144576	806912
5700609127	70324224	811008
5800602212	79220736	868352
5900604592	78696448	872448
6000603707	74326016	880640
6100602182	66596864	880640
6200604600	66576384	880640
6300606828	70492160	880640
6400604847	78487552	880640
6500600694	79564800	880640
6600601674	79564800	880640
6700616633	77299712	897024
6800618508	79618048	901120
6900610395	78106624	901120
7000619543	68804608	901120
7100611388	66527232	905216
7200613355	68476928	905216
7300617565	70967296	905216
7400609251	68067328	905216
7500614796	70311936	905216
7600609968	68878336	905216
7700613031	69140480	905216
7800618938	71761920	905216
7900607663	71405568	905216
8000613659	71520256	905216
8100619725	72663040	905216
8200618854	73134080	905216
8300613110	73838592	921600
8400616980	76984320	921600
8500612540	78741504	921600
8600618386	76746752	925696
8700617475	79364096	925696
8800607398	79626240	925696
8900615607	80117760	925696
9000612117	81240064	942080
9100609549	82452480	942080
9200611552	81207296	942080
9300614760	81276928	942080
9400609545	84160512	942080
9500611564	84176896	942080
9600616499	84393984	942080
9700614861	86913024	942080
9800617137	88616960	942080
9900612741	88715264	958464
10000613770	87879680	958464
10100612135	90914816	958464
10200610766	91545600	958464
10300612958	90841088	958464
10400613244	91189248	958464
10500612034	93597696	962560
10600606768	93290496	962560
10700609423	93298688	962560
10800611261	93413376	962560
10900613325	96116736	983040
11000614805	96903168	987136
11100613238	97271808	987136
11200612233	98234368	987136
11300610927	99401728	991232
11400614321	99717120	991232
11500616619	100364288	991232
11600616496	100327424	991232
11700614759	101281792	995328
11800619594	103489536	1015808
11900605009	103505920	1015808
12000617908	103763968	1015808
