time	rss	kernel
0	528384	114688
100717949	15147008	442368
200730961	18726912	466944
300731345	35373056	561152
400722760	33976320	610304
500723765	46989312	610304
600716693	26566656	638976
700724438	35155968	638976
800729462	37838848	643072
900719118	34103296	643072
1000724456	41881600	655360
1100721495	35446784	655360
1200718321	32534528	659456
1300719129	33554432	659456
1400715940	37400576	667648
1500719763	35344384	667648
1600718866	35921920	667648
1700716537	37023744	667648
1800716811	38420480	667648
1900716330	36364288	667648
2000722744	37289984	667648
2100727682	37482496	667648
2200726721	38416384	667648
2300730753	39309312	667648
2400729280	37281792	667648
2500720414	38215680	671744
2600729215	42876928	671744
2700734577	42127360	671744
2800731349	47181824	671744
2900731121	48480256	671744
3000730505	49758208	671744
3100722453	53288960	688128
3200727514	47939584	688128
3300719703	48988160	688128
3400724465	41484288	688128
3500726101	41000960	688128
3600727070	45395968	688128
3700709019	48394240	688128
3800724697	49246208	688128
3900727468	53309440	688128
4000728033	49352704	688128
4100719501	48975872	688128
4200722489	50155520	688128
4300720182	53010432	688128
4400726782	53530624	688128
4500724344	63754240	704512
4600732983	73805824	765952
4700718205	75710464	782336
4800720501	72531968	782336
4900738594	83488768	815104
5000722948	71929856	815104
5100722461	71184384	815104
5200722289	76570624	847872
5300711771	78405632	847872
5400717676	83648512	847872
5500710812	72986624	847872
5600713179	74559488	847872
5700726446	74444800	847872
5800715408	72146944	847872
5900717712	73240576	847872
6000720491	81100800	847872
6100726564	80433152	847872
6200731069	84234240	847872
6300731809	91828224	847872
6400720453	88592384	847872
6500725157	89116672	847872
6600732283	87674880	847872
6700728068	89047040	847872
6800727653	82665472	847872
6900729432	73461760	847872
7000730673	72650752	847872
7100728775	71696384	847872
7200724104	71270400	847872
7300730505	72118272	847872
7400735903	73560064	847872
7500725283	78876672	851968
7600719880	79446016	851968
7700726313	72450048	851968
7800719226	77430784	851968
7900730055	77484032	851968
8000734216	75739136	851968
8100730141	80805888	851968
8200728633	80994304	851968
8300732893	88465408	851968
8400736243	89427968	851968
8500711531	85786624	851968
8600720428	82792448	851968
8700717226	74305536	851968
8800722965	73756672	851968
8900717342	77295616	851968
9000741028	79876096	851968
9100735501	78913536	851968
9200727135	78831616	851968
9300729812	76115968	851968
9400729674	80228352	851968
9500717778	80572416	856064
9600726501	76460032	856064
9700728699	76791808	856064
9800728383	80334848	856064
9900728343	85794816	856064
10000722558	88809472	856064
10100727000	99250176	905216
10200725224	95657984	905216
10300725524	103362560	921600
10400732359	97890304	921600
10500726491	97722368	946176
10600737163	100470784	954368
10700720052	95481856	954368
10800719359	95502336	962560
10900720953	99856384	962560
11000731564	100904960	966656
11100729226	99233792	966656
11200732690	99233792	966656
11300734290	108761088	966656
11400718854	108204032	966656
11500726354	108204032	966656
11600724470	106020864	966656
11700729256	99753984	966656
11800717816	99926016	966656
11900733100	99926016	966656
12000721883	93675520	970752
12100723311	90648576	970752
12200721426	91021312	970752
12300728060	90144768	970752
12400724675	94654464	970752
12500727785	94240768	970752
12600723401	90607616	970752
12700724667	90591232	970752
12800724670	90984448	970752
12900729025	94593024	970752
13000724668	93265920	970752
13100742491	94416896	970752
13200732496	95289344	970752
13300726434	91496448	970752
13402094413	97869824	970752
13500733168	101474304	970752
13600727575	101154816	970752
13700729430	102510592	970752
13800729654	102342656	970752
13900727065	100970496	970752
14000723038	100302848	974848
14100722011	97681408	974848
14200731040	97955840	974848
14300723383	96440320	974848
14400719455	101392384	974848
14500717711	102051840	974848
14600732173	106496000	974848
14700727794	109871104	991232
14800725626	111312896	991232
14900723940	107851776	1007616
15000723982	110698496	1007616
15100729554	109641728	1007616
15200725188	108453888	1007616
15300723381	112340992	1007616
15400724219	110469120	1007616
15500721698	107589632	1007616
15600723649	108625920	1007616
15700723992	107909120	1007616
15800733007	112058368	1007616
15900729834	111976448	1007616
16000718478	109580288	1007616
16100723609	109056000	1007616
16200731104	114036736	1015808
16300731213	118472704	1024000
16400726528	121929728	1040384
16500726212	126554112	1052672
16600723198	122728448	1052672
16700719804	124575744	1077248
16800723478	125075456	1077248
16900722520	123531264	1077248
17000733342	128749568	1077248
17100736524	127279104	1077248
17200731269	127279104	1077248
17300732796	127279104	1077248
17400733155	127279104	1077248
17500772069	127279104	1077248
17600717442	126058496	1077248
17700718669	126189568	1077248
17800717437	128143360	1093632
17900716828	124272640	1093632
18000722639	128917504	1093632
18100729380	128712704	1093632
18200722933	124633088	1093632
18300728580	126664704	1097728
18400723694	127516672	1101824
18500730315	129220608	1101824
18600724625	124796928	1101824
18700718440	124624896	1101824
18800720714	125464576	1105920
18900725158	124887040	1105920
19000719680	125362176	1105920
19100726755	127197184	1105920
19200725547	127557632	1105920
19300727153	127160320	1110016
19400727862	124436480	1110016
19501199862	124162048	1110016
19600737962	124305408	1110016
19700728904	124563456	1110016
19800727785	124493824	1110016
19900730704	124493824	1110016
20000726753	125800448	1110016
20100926311	126283776	1110016
20200728209	126414848	1110016
20300727075	125353984	1110016
20400904244	125620224	1110016
20500728465	125644800	1110016
20600722493	125689856	1110016
20700728694	126095360	1110016
20800724133	126922752	1110016
20900727848	128364544	1110016
21000699818	128393216	1110016
21100727806	129294336	1110016
21200727546	131653632	1110016
21300734882	132644864	1110016
21400730897	134537216	1126400
21500731368	136032256	1134592
21600726800	136163328	1134592
21700729052	137007104	1134592
21800729403	137490432	1138688
21900728414	137830400	1138688
22000728511	138878976	1138688
22100733234	136343552	1138688
22200733931	138543104	1159168
22300723051	138645504	1163264
22400719133	136880128	1163264
22500715098	140025856	1163264
22600730714	140025856	1163264
22700730626	140046336	1163264
22800729193	138850304	1163264
22900734222	142004224	1167360
23000700411	142266368	1167360
23100726046	141680640	1167360
23200725254	140767232	1167360
23300731214	146272256	1183744
23400730161	146272256	1183744
23500727716	147505152	1183744
23600717713	147316736	1183744
23700728138	150130688	1183744
23800729789	148189184	1183744
23900726114	147050496	1183744
24000718749	146419712	1183744
24100724803	149344256	1183744
24200730579	149159936	1183744
24300719709	147050496	1183744
24400724447	155455488	1200128
24500725603	155455488	1200128
24600732339	154697728	1200128
24700733360	153628672	1200128
24800730059	154337280	1204224
24900733787	156303360	1204224
25000730236	156110848	1208320
25100722078	155160576	1228800
25200730427	156950528	1228800
25300733927	163766272	1236992
25400732341	164605952	1245184
25500733451	164605952	1245184
25600728297	167243776	1265664
25700730978	165023744	1265664
25800731594	164442112	1265664
25900733788	164442112	1265664
26000732102	175542272	1306624
26100716033	169308160	1306624
26200725546	178610176	1343488
26300722044	180965376	1347584
26400724455	179236864	1363968
26500718155	168124416	1363968
26600717207	168345600	1363968
26700728315	179875840	1363968
26800730812	189411328	1363968
26900723278	189579264	1380352
27000730867	195579904	1384448
27100736303	195579904	1384448
27200716941	197230592	1400832
27300717741	187367424	1400832
27400731462	192086016	1400832
27500724764	188903424	1400832
27600727312	188391424	1400832
27700741869	188391424	1400832
27800730418	182824960	1404928
27900735272	182116352	1404928
28000727325	180101120	1404928
28100731088	184594432	1404928
28200725213	184594432	1404928
28300729979	187867136	1404928
28400719121	187813888	1404928
28500727583	187387904	1404928
28600732864	183398400	1404928
28700730302	187801600	1404928
28800728186	192372736	1404928
28900740820	192372736	1404928
29000710378	191250432	1404928
29100719794	187355136	1404928
29200720295	190128128	1409024
29300725245	189550592	1409024
29400727133	189665280	1409024
29500730640	189067264	1409024
29600718712	189067264	1409024
29700727763	189460480	1409024
29800730052	193118208	1409024
29900728047	192966656	1409024
30000729792	188850176	1409024
30100733183	194584576	1409024
30200731637	194584576	1409024
30300726774	194494464	1409024
30400730214	195772416	1409024
30500730706	205209600	1433600
30600733199	205209600	1433600
30700731983	205209600	1433600
30800731340	208474112	1458176
30900730201	241922048	1617920
31000730801	219394048	1622016
31100726725	226734080	1622016
31200720590	228036608	1622016
31300722452	226086912	1622016
31400733952	232333312	1622016
31500721492	222076928	1622016
31600730494	223518720	1622016
31700733321	232640512	1622016
31800722539	245710848	1675264
31900724138	245710848	1675264
32000722367	249798656	1691648
32100721037	225431552	1740800
32200726983	227946496	1740800
32300723843	229994496	1740800
32400723062	229888000	1740800
32500730792	231362560	1740800
32600722398	229101568	1744896
32700725515	237936640	1744896
32800725804	253788160	1744896
32900732979	254615552	1744896
33000730789	254615552	1744896
33100726838	256188416	1744896
33200724781	256188416	1744896
33300732040	254615552	1744896
33400729398	263397376	1744896
33500721331	270467072	1744896
33600721186	270467072	1744896
33700720014	266366976	1744896
33800732014	267149312	1748992
33900727907	264785920	1748992
34000724476	265601024	1748992
34100721653	264470528	1748992
34200731708	264601600	1748992
34300730060	264601600	1748992
34400724329	264925184	1748992
