time	rss	kernel
0	684032	204800
100755252	14487552	454656
200769449	14811136	487424
300772420	15314944	487424
400768380	14290944	491520
500749015	20008960	507904
600762140	19226624	532480
700770005	20512768	532480
800775646	16719872	536576
900770702	17129472	536576
1000773522	17354752	536576
1100771507	17805312	536576
1200758700	18251776	536576
1300771841	19374080	536576
1400761449	21172224	540672
1500762327	21499904	540672
1600772699	24829952	544768
1700766210	24289280	565248
1800760063	23351296	565248
1900762130	27865088	569344
2000774672	30294016	573440
2100773299	28749824	593920
2200764296	29368320	593920
2300775625	33181696	593920
2400772576	34627584	610304
2500776945	33382400	610304
2600750031	35196928	614400
2700764605	36507648	618496
2800760369	34832384	638976
2900770897	35794944	638976
3000774422	36958208	638976
3100756532	37679104	638976
3200761939	37761024	638976
3300762822	41807872	647168
3400767067	42717184	651264
3500758090	41975808	651264
3600771853	44572672	671744
3700776015	45883392	671744
3800750461	45096960	671744
3900775597	47153152	671744
4000766233	45285376	671744
4100768767	45481984	671744
4200772506	45375488	675840
4300772922	46804992	675840
4400776107	46809088	679936
4500758217	46854144	679936
4600752348	48676864	679936
4700773493	51691520	704512
4800768699	62398464	761856
4900762596	62545920	770048
5000751455	56578048	770048
5100760167	61652992	770048
5200760955	67117056	774144
5300763711	65441792	774144
5400755613	66072576	778240
5500759965	74461184	806912
5600771770	70275072	806912
5700765790	79171584	847872
5800768262	75649024	847872
5900758549	74424320	872448
6000764927	66490368	872448
6100768380	65544192	872448
6200773685	69324800	872448
6300771901	72556544	872448
6400772253	79671296	876544
6500771164	79671296	876544
6601608770	75964416	876544
6700769949	79593472	880640
6800758597	77815808	880640
6900763731	67133440	884736
7000774094	68706304	884736
7100763912	66629632	884736
7200772252	70443008	884736
7300762763	68132864	884736
7400770945	69308416	884736
7500777281	70619136	884736
7600760541	70148096	884736
7700773177	70995968	884736
7800767334	70475776	884736
7900762199	70750208	884736
8000774345	72622080	884736
8100764474	72568832	884736
8200764180	72986624	884736
8300776832	76918784	884736
8400758383	77205504	884736
8500788125	76578816	884736
8600759372	77467648	884736
8700776760	79302656	884736
8800760226	80650240	884736
8900776353	81068032	884736
9000775417	81879040	884736
9100762528	83505152	884736
9200762487	81506304	884736
9300771723	83017728	884736
9400768239	83816448	884736
9500769369	84008960	884736
9600778179	84619264	884736
9700773202	88682496	901120
9800758849	88633344	901120
9900773853	87310336	901120
10000775734	90140672	901120
10100776055	90927104	901120
10200776595	91713536	901120
10300773516	90980352	901120
10400773037	92987392	901120
10500771678	93458432	905216
10600760448	93708288	905216
10700769477	93622272	905216
10800769468	94871552	921600
10900775542	96935936	925696
11000760205	97034240	925696
11100771136	98177024	929792
11200773525	97538048	929792
11300771708	99614720	933888
11400759929	100110336	933888
11500763882	100171776	933888
11600772020	100704256	933888
11700775883	103362560	954368
11800760165	103387136	954368
11900771536	103493632	958464
