time	rss	kernel
0	540672	131072
100780308	27025408	389120
200786573	27025408	389120
300783993	27025408	389120
400784806	27025408	389120
500789870	27156480	389120
600788802	27156480	389120
700793794	27156480	393216
800794232	27549696	393216
900788443	27680768	393216
1000788928	27680768	393216
1100796208	27680768	401408
1200789807	28205056	409600
1300790570	28205056	409600
1400783836	28205056	409600
1500796465	28205056	409600
1600797481	28205056	409600
1701295216	28205056	409600
1800781287	28205056	409600
1900813740	28123136	421888
2000807343	28123136	421888
2100786159	28123136	421888
2200784922	28123136	421888
2300787527	28123136	421888
2400780391	28123136	421888
2500786891	28254208	421888
2600786909	28254208	421888
2700784702	28254208	421888
2800785297	28254208	421888
2900790274	28254208	421888
3000789627	28254208	421888
3100787974	28254208	421888
3200782391	28254208	421888
3300793595	28254208	421888
3400794887	28254208	421888
3500789420	28254208	421888
3600785075	28143616	421888
3700782188	28143616	421888
3800782189	28274688	421888
3900775328	28274688	421888
4000772198	28274688	421888
4100782932	28274688	421888
4200789557	28274688	421888
4300783151	28274688	421888
4400779193	28274688	421888
4500784321	28274688	421888
