time	rss	kernel
0	610304	135168
100708610	26869760	446464
200734879	27525120	466944
300738713	27656192	466944
400740451	27656192	466944
500729594	27656192	466944
600729338	27656192	466944
700727274	27656192	466944
800741769	27656192	466944
900742172	27656192	466944
1000734620	27787264	471040
1100735661	27787264	471040
1200735230	27787264	471040
1300742372	27918336	471040
1400740530	27918336	471040
1500740850	28049408	475136
1600749018	28049408	475136
1700732733	28155904	479232
1800738245	28082176	487424
1900736778	28213248	487424
2000736788	28213248	487424
2100737893	28213248	487424
2200737236	28213248	487424
2300739528	28213248	487424
2400741356	28213248	487424
2500739037	28213248	487424
2600736479	28213248	487424
2700765179	28213248	487424
2800745641	28213248	487424
2900741368	28213248	487424
3000739531	28213248	487424
3100734675	28213248	487424
3200736978	28151808	487424
3300746021	28151808	487424
3400736832	28151808	487424
3500733635	28151808	487424
