time	rss	kernel
0	630784	135168
100707250	27766784	417792
200734230	28028928	425984
300736964	28028928	442368
400734729	28127232	450560
500739880	28127232	450560
600733508	27996160	450560
700736169	27996160	450560
800735393	27996160	450560
900724971	27996160	450560
1000725267	28127232	450560
1100736520	28127232	450560
1200732337	27996160	450560
1300728971	28127232	450560
1400730575	28127232	450560
1500734570	28127232	450560
1600742915	28258304	450560
1700727645	28127232	450560
1800739178	28258304	450560
1900736951	28258304	450560
2000730915	28127232	450560
2100727548	28258304	450560
2200739133	28258304	450560
2300734526	28258304	450560
2400728955	28389376	450560
2500727811	28254208	450560
2600736370	28254208	450560
2700735328	28385280	450560
2800737184	28385280	450560
2900727482	28385280	450560
3000731900	28221440	450560
3100736925	28352512	450560
3200739546	28286976	450560
3300728762	28286976	450560
3400731695	28286976	450560
3500725446	28286976	450560
3600733751	28286976	450560
3700729813	28286976	450560
3800732181	28286976	450560
3900731760	28286976	450560
4000945886	28286976	450560
4100740913	28286976	450560
4200714806	28286976	450560
4300726293	28200960	450560
4400738158	28200960	450560
4500731743	28200960	450560
4600736165	28200960	450560
4700780522	28200960	450560
4800750166	28200960	450560
4900736044	28200960	450560
5000735457	28332032	450560
5100732737	28332032	450560
5200736025	28332032	450560
5300729736	28332032	450560
5400728510	28332032	450560
5500723615	28332032	450560
5600729800	28262400	450560
5700724001	28262400	450560
5800721189	28262400	450560
5900723811	28262400	450560
6000735788	28262400	450560
6100730254	28262400	450560
6200953618	28262400	450560
6300749834	28262400	450560
6400743426	28393472	450560
6500735554	28393472	450560
6600729048	28393472	450560
6700729169	28393472	450560
6800739125	28286976	450560
6900741745	28286976	450560
7000741962	28385280	458752
7100744167	28254208	458752
7200741277	28254208	458752
7300740601	28385280	458752
7400741162	28385280	458752
7500727946	28282880	458752
7600741031	28282880	458752
7700738137	28545024	458752
7800739342	28348416	458752
7900732378	28348416	458752
8000729947	28348416	458752
8100739869	28348416	458752
8200736502	28348416	458752
8300751156	28348416	458752
8400728300	28348416	458752
8500724898	28348416	458752
8600735377	28348416	458752
8700737721	28250112	458752
8800740869	28381184	458752
8900741402	28381184	458752
9000737687	28278784	458752
9100738436	28278784	458752
9200735756	28278784	458752
9300739535	28278784	458752
9400737614	28213248	458752
9500738587	28344320	458752
9600736277	28344320	458752
9700738936	28246016	458752
9800740017	28246016	458752
9900740986	28377088	458752
10000743404	28377088	458752
10100742344	28377088	458752
10200734597	28377088	458752
10300742111	28377088	458752
10400743455	28377088	458752
10500736734	28377088	458752
10600742884	28377088	458752
10700743302	28311552	458752
10800743606	28311552	458752
10900744604	28311552	458752
11000737104	28311552	458752
11100730147	28311552	458752
11200729120	28311552	458752
11300731876	28311552	458752
11400733386	28311552	458752
11500732828	28311552	458752
11600739546	28311552	458752
11700741255	28225536	458752
11800736998	28225536	458752
11900734130	28225536	458752
12000738175	28356608	458752
12100741160	28356608	458752
12200735374	28356608	458752
12300731384	28356608	458752
12400727388	28356608	458752
12500731568	28356608	458752
12600732204	28356608	458752
12700743549	28356608	458752
12800741226	28278784	458752
12900739351	28278784	458752
13000732483	28278784	458752
13100740954	28278784	458752
13200738219	28278784	458752
13300739792	28278784	458752
13400740860	28409856	458752
13500742446	28409856	458752
13600742353	28311552	458752
13700739299	28311552	458752
13800736529	28442624	458752
13900728578	28442624	458752
14000777721	28442624	458752
14100760001	28303360	458752
14200737837	28303360	458752
14300741157	28303360	458752
14400733395	28303360	458752
14500723250	28303360	458752
14600739048	28303360	458752
14700742021	28205056	458752
14800741732	28336128	458752
14900742238	28467200	458752
15000733906	28262400	458752
15100742824	28393472	458752
15200741057	28393472	458752
15300741450	28393472	458752
15400736775	28262400	458752
15500739949	28262400	458752
15600740195	28262400	458752
15700734299	28262400	458752
15800741317	28262400	458752
15900742010	28393472	458752
16000739440	28393472	458752
16100730651	28393472	458752
16200730000	28393472	458752
16300732972	28393472	458752
16400740125	28393472	458752
16500741900	28393472	458752
16600743345	28393472	458752
16700740059	28393472	458752
16800739996	28295168	458752
16900739684	28295168	458752
17000737217	28295168	458752
17100735822	28295168	458752
17200730571	28295168	458752
17300742303	28295168	458752
17400743551	28295168	458752
17500730349	28426240	458752
17600739560	28426240	458752
17700736274	28426240	458752
17800735697	28426240	458752
17900737841	28426240	458752
18000735938	28426240	458752
18100736822	28319744	458752
18200735222	28319744	458752
18300735523	28319744	458752
18400742615	28319744	458752
18500741200	28319744	458752
18600743743	28319744	458752
18700734860	28319744	458752
18800738204	28319744	458752
18900732759	28606464	458752
19000742392	28606464	458752
19100737287	28606464	458752
19200742665	28606464	458752
19300743133	28545024	458752
