time	rss	kernel
0	675840	208896
100682515	6631424	565248
200702295	8335360	569344
300705323	8335360	569344
400708930	10039296	573440
500710379	10039296	573440
600705259	11743232	573440
700710535	11743232	573440
800717215	13447168	593920
900713720	13447168	593920
1000725497	13447168	593920
1100717522	15151104	602112
1200716211	15151104	602112
1300715416	15151104	602112
1400715522	16855040	602112
1500715536	16855040	602112
1600711960	16855040	602112
1700719072	18558976	622592
1800715473	18558976	622592
1900716331	18558976	622592
2000718207	18558976	622592
2100724223	20262912	626688
2200718699	20262912	626688
2300721980	20262912	626688
2400722945	20262912	626688
2500714933	20262912	626688
2600714727	21835776	626688
2700718831	21835776	626688
2800722077	21835776	626688
2900715336	21835776	626688
3000716595	21835776	626688
3100722332	22048768	647168
3200716542	22048768	647168
3300711053	22048768	647168
3400714922	22048768	647168
3500715557	22048768	647168
3600712927	22388736	647168
3700720144	22388736	647168
3800708663	22388736	647168
3900719178	22388736	647168
4000711565	22335488	647168
4100715063	22859776	647168
4200714786	22859776	647168
4300721671	22859776	647168
4400721776	22859776	647168
4502959263	23199744	647168
4600726178	23199744	647168
4700719402	23199744	647168
4800718918	23199744	647168
4900714609	23199744	647168
5000720464	23724032	647168
5100722498	23724032	647168
5200720487	23724032	647168
5300721297	23724032	647168
5400719706	23724032	647168
5500716358	24018944	651264
5600717829	24018944	651264
5700721464	24018944	651264
5800720256	24018944	651264
5900718305	24018944	651264
6000720516	24227840	651264
6100722696	24227840	651264
6200718638	24227840	651264
6300719194	24227840	651264
6400714217	24227840	651264
6500717994	24252416	651264
6600718132	24252416	651264
6700717795	24252416	651264
6800717892	24252416	651264
6900714848	24252416	651264
7000709335	24276992	651264
7100714663	24276992	651264
7200709459	24276992	651264
7300722045	24276992	651264
7400716271	24276992	651264
7500718810	24301568	651264
7600717758	24301568	651264
7700714193	24301568	651264
7800717987	24301568	651264
7900709026	24301568	651264
8000716589	24326144	651264
8100721731	24326144	651264
8200717906	24326144	651264
8300722626	24326144	651264
8400717462	24350720	651264
8500719895	24350720	651264
8600708044	24350720	651264
8700706704	24350720	651264
8800709269	24350720	651264
8900716832	24375296	651264
9000716376	24375296	651264
9100722510	24375296	651264
9200719403	24375296	651264
9300721707	24375296	651264
9400720505	24399872	651264
9500720895	24399872	651264
9600714523	24399872	651264
9700717047	24399872	651264
9800715939	24399872	651264
