time	rss	kernel
0	536576	114688
100617216	5902336	438272
200626794	7606272	438272
300623441	7606272	438272
400623656	9179136	442368
500631981	10227712	462848
600629193	10883072	462848
700628220	10883072	462848
800628307	12718080	466944
900628453	12718080	466944
1000633722	13635584	471040
1100630608	14290944	471040
1200631767	14290944	471040
1300634612	14290944	471040
1400627921	15994880	491520
1500634454	15994880	491520
1600610287	15994880	491520
1700635482	17698816	491520
1800586045	17698816	491520
1900630719	17698816	491520
2000634266	17698816	491520
2100637219	19402752	495616
2200634527	19402752	495616
2300586677	19402752	495616
2400586123	19402752	495616
2500636074	19402752	495616
2600632977	21106688	520192
2700631506	21106688	520192
2800636406	21106688	520192
2900636340	21106688	520192
3000632480	20795392	520192
3100641959	21188608	520192
3200635040	21188608	520192
3300637352	21188608	520192
3400631939	21188608	520192
3500622649	21659648	520192
3600630413	21659648	520192
3700631613	21659648	520192
3800635127	21659648	520192
3900632787	21659648	520192
4000631943	21999616	520192
4100629223	21999616	520192
4200635311	21999616	520192
4300632195	21999616	520192
4400632811	21999616	520192
4500634653	22523904	520192
4600632191	22523904	520192
4700635592	22523904	520192
4800628545	22523904	520192
4900634554	22523904	520192
5000632319	22917120	524288
5100628967	22917120	524288
5200629972	22917120	524288
5300631695	22917120	524288
5400621961	22917120	524288
5500626569	23322624	524288
5600629217	23322624	524288
5700631477	23322624	524288
5800647991	23322624	524288
5900617797	23322624	524288
6000629251	23531520	524288
6100632561	23531520	524288
6200630580	23531520	524288
6300625541	23531520	524288
6400626741	23531520	524288
6500620417	23556096	524288
6600616138	23556096	524288
6700627731	23556096	524288
6800629469	23556096	524288
6900629761	23556096	524288
7000630188	23580672	524288
7100623474	23580672	524288
7200633362	23580672	524288
7300629208	23580672	524288
7400621900	23580672	524288
7500619758	23605248	524288
7600628764	23605248	524288
7700633233	23605248	524288
7800631812	23605248	524288
7900630400	23605248	524288
8000630836	23482368	524288
8100629402	23482368	524288
8200631021	23482368	524288
8300628410	23482368	524288
8400620221	23244800	524288
8500628301	23506944	524288
8600630296	23506944	524288
8700632870	23506944	524288
8800631776	23506944	524288
8900622144	23531520	524288
9000629483	23531520	524288
9100630834	23531520	524288
9200632295	23531520	524288
9300625966	23531520	524288
9400623110	23556096	524288
9500632067	23556096	524288
9600629207	23556096	524288
9700627751	23556096	524288
9800630896	23556096	524288
9900626788	23580672	524288
10000631402	23580672	524288
10100633417	23580672	524288
10200623091	23580672	524288
10300624063	23580672	524288
10400620129	23605248	524288
10500619127	23605248	524288
10600618977	23605248	524288
10700631992	23605248	524288
10800630291	23605248	524288
10900628651	23498752	524288
11000627414	23498752	524288
11100623789	23498752	524288
11200630895	23498752	524288
11300628691	23498752	524288
11400622296	23523328	524288
11500632429	23523328	524288
11600628853	23523328	524288
11700630320	23523328	524288
11800629507	23523328	524288
11900625802	23547904	524288
12000631495	23547904	524288
12100633311	23547904	524288
12200632963	23547904	524288
12300632989	23547904	524288
12400629687	23572480	524288
12500633847	23572480	524288
12600630769	23572480	524288
12700629815	23572480	524288
12800627829	23597056	524288
12900633614	23597056	524288
13000633442	23597056	524288
13100633039	23597056	524288
13200631179	23597056	524288
13300636162	23490560	524288
13400626349	23490560	524288
13500630246	23490560	524288
13600628737	23490560	524288
13700627071	23490560	524288
13800634058	23515136	524288
13900622165	23515136	524288
14000628306	23515136	524288
14100629937	23515136	524288
14200635248	23515136	524288
14300641797	23523328	524288
14400619529	23523328	524288
14500629769	23523328	524288
14600630146	23523328	524288
14700633228	23523328	524288
14800633065	23580672	524288
14900632175	23580672	524288
15000624911	23580672	524288
15100625216	23580672	524288
15200631118	23580672	524288
15300630786	23572480	524288
15400631606	23572480	524288
15500629729	23572480	524288
15600628980	23572480	524288
15700619820	23572480	524288
15800635481	23494656	524288
15900659971	23494656	524288
16000635427	23494656	524288
16100636358	23494656	524288
16200634766	23494656	524288
16300634004	23523328	524288
16400636165	23523328	524288
16500638258	23523328	524288
16600638249	23523328	524288
16700613620	23515136	524288
16800633072	23515136	524288
16900635247	23515136	524288
17000636111	23515136	524288
17100636668	23515136	524288
17200613088	23564288	524288
17300635450	23564288	524288
17400634053	23564288	524288
17500635645	23564288	524288
17600631745	23564288	524288
17700589002	23597056	524288
17800636459	23597056	524288
