time	rss	kernel
0	647168	167936
100636321	19079168	389120
200650602	19079168	389120
300645678	19079168	389120
400647501	19079168	389120
500649865	19079168	389120
600641090	19079168	389120
700638194	19079168	389120
800636062	19079168	389120
900645644	19079168	389120
1000642907	19079168	389120
1100647283	19079168	389120
1200647976	19079168	389120
1300645332	19079168	389120
1400648298	19079168	389120
1500646191	19079168	389120
1600646061	54861824	552960
1700646917	136781824	892928
1800642298	225255424	1282048
1900645973	225255424	1282048
2000646205	225255424	1282048
2100643844	225255424	1282048
2200641212	225255424	1282048
2300642347	225255424	1282048
2400636146	225255424	1282048
2500641329	225255424	1282048
2600640254	225255424	1282048
2700633749	225255424	1282048
2800637590	225255424	1282048
2900645587	225255424	1282048
3000643660	225255424	1282048
3100645799	225255424	1282048
3200638909	225255424	1282048
3300656200	225255424	1282048
3400641492	225255424	1282048
3500640400	225255424	1282048
3600646578	225255424	1282048
3700644097	225255424	1282048
3800645248	225255424	1282048
3900641884	225255424	1282048
4000644241	225255424	1282048
4100641437	225255424	1282048
4200643706	225255424	1282048
4300642102	225255424	1282048
4400645164	225255424	1282048
4500643596	225255424	1282048
4600642938	225255424	1282048
4700642408	225255424	1282048
4800645006	225255424	1282048
4900646507	225255424	1282048
5000644536	225255424	1282048
5100643545	225255424	1282048
5200641870	225255424	1282048
5300646005	225255424	1282048
5400644495	225255424	1282048
5500644623	225255424	1282048
5600643350	225255424	1282048
5700645636	225255424	1282048
5800647966	225255424	1282048
5900643057	225255424	1282048
6000642839	225255424	1282048
6100643522	225255424	1282048
6200652913	225255424	1282048
6300653470	225255424	1282048
6400650272	225255424	1282048
6500645328	225255424	1282048
6600649629	284368896	1531904
6700641616	213020672	1761280
6800642528	213020672	1761280
6900652307	213020672	1761280
7000651721	248541184	1830912
7100644007	319320064	2117632
7200649270	340946944	2207744
7300636017	354054144	2248704
7400638147	362835968	2301952
7500633354	362967040	2301952
7600638185	362967040	2301952
7700674059	363098112	2301952
7800662136	363098112	2301952
7900647573	363098112	2301952
8000644599	363098112	2301952
8100645579	363098112	2301952
8200647813	363098112	2301952
8300647660	363098112	2301952
8400647848	363098112	2301952
8500647382	363098112	2301952
8600647531	363098112	2301952
8700638310	363098112	2301952
8800650808	363098112	2301952
8900660334	363098112	2301952
9000647581	363098112	2301952
9100645472	363098112	2301952
9200642016	363098112	2301952
9300641585	363098112	2301952
9400647042	363098112	2301952
9500646798	363098112	2301952
9600646170	363098112	2301952
9700624489	363098112	2301952
9800618638	363098112	2301952
9900623274	363098112	2301952
10000629481	363098112	2301952
10100626211	363098112	2301952
10200627183	363098112	2301952
10300632931	363098112	2301952
10400631217	363098112	2301952
10500666405	363098112	2301952
10600636789	363098112	2301952
10700634576	363098112	2301952
10800635398	363098112	2301952
10900629760	363098112	2301952
11000622522	363098112	2301952
11100623216	363098112	2301952
11200628211	363098112	2301952
11300631498	363098112	2301952
11400643825	363098112	2301952
11500629454	363098112	2301952
11600622571	363098112	2301952
11700617638	363098112	2301952
11800616400	363098112	2301952
11900618662	363098112	2301952
12000624571	363098112	2301952
12100627045	363098112	2301952
12200628152	363098112	2301952
12300652875	363098112	2301952
