time	rss	kernel
0	491520	81920
100754159	25497600	446464
200765416	25870336	458752
300767663	64667648	614400
400763806	73916416	700416
500765379	77455360	700416
600773168	96563200	802816
700769716	97648640	843776
800761006	97648640	843776
900755660	97648640	843776
1000755132	97648640	843776
1100754303	97648640	843776
1200756723	97648640	843776
1300751335	97648640	843776
1400722166	97648640	843776
1500734682	97648640	843776
1600750429	72056832	843776
1700751593	72056832	843776
1800746965	72056832	843776
1900747630	72056832	843776
2000746387	72056832	843776
2100746855	72056832	843776
2200746924	72056832	843776
2300746528	72187904	843776
2400753240	72450048	843776
2500753940	72871936	843776
2600752082	73289728	843776
2700747699	73703424	847872
2800752474	74137600	847872
2900753093	74555392	847872
3000795169	74854400	847872
3100750126	75276288	847872
3200752573	75563008	847872
3300749189	76251136	847872
3400751792	76533760	847872
3500750311	76947456	847872
3600751926	77361152	847872
3700751724	77647872	847872
3800752032	78082048	847872
3900751364	78364672	847872
4000752021	78770176	847872
4100750436	79183872	847872
4200749022	79491072	847872
4300746973	80297984	847872
4400745314	80592896	847872
4500753043	81010688	847872
4600752563	81432576	847872
4700751544	81727488	847872
4800748999	82145280	847872
4900750805	82558976	851968
5000751396	82849792	851968
5100753109	83263488	851968
5200748324	83685376	851968
5300749238	83972096	851968
5400751888	84398080	856064
5500748708	84819968	856064
5600750114	85102592	856064
5700751245	85528576	856064
5800750047	85946368	856064
5900750026	86372352	856064
6000751196	86781952	860160
6100748483	87212032	860160
6200749213	88678400	864256
6300749698	89104384	864256
6400751534	89526272	864256
6500750503	89948160	864256
6600745789	90374144	868352
6700749370	90796032	868352
6800750741	91213824	868352
6900751754	91643904	868352
7000746034	92049408	868352
7100747322	92471296	872448
7200749620	92884992	872448
7300746290	93315072	872448
7400746614	93601792	876544
7500749884	94023680	876544
7600751220	94449664	876544
7700752124	94859264	876544
7800751468	95408128	876544
7900752072	95830016	876544
8000751392	96239616	876544
8100750106	96534528	876544
8200752788	96960512	876544
8300747899	97382400	876544
8400751918	97804288	876544
8500749501	98230272	876544
8600750377	98775040	876544
8700750460	99192832	876544
8800749956	99606528	880640
8900750642	100036608	880640
9000749198	100581376	880640
9100749186	101023744	880640
9200750785	101429248	880640
9300747208	101847040	880640
9400745922	102277120	880640
9500747808	102825984	880640
9600748290	103743488	880640
9700765241	128929792	929792
9800766226	183975936	1159168
9900761584	148307968	1159168
10000754296	136249344	1159168
10100749796	136642560	1159168
10200748256	137035776	1159168
10300745867	137297920	1159168
10400749075	137773056	1159168
10500748752	138035200	1159168
10600746760	138428416	1159168
10700747075	138821632	1159168
10800748180	139083776	1159168
10900747795	139460608	1159168
11000742915	139853824	1159168
11100744257	140247040	1159168
11200748755	140509184	1159168
11300746072	140902400	1159168
11400748845	141295616	1159168
11500750536	141631488	1159168
11600793030	142024704	1159168
11700754887	142417920	1159168
11800754901	142680064	1159168
11900754989	143020032	1159168
12000754962	143413248	1159168
12100754017	143806464	1159168
12200757369	144068608	1159168
12300752178	144461824	1159168
12400754764	144818176	1159168
12500749691	145211392	1159168
12600753928	145473536	1159168
12700755120	145866752	1159168
12800754954	146206720	1159168
12900754813	146599936	1159168
13000753979	146993152	1159168
13100754944	147255296	1159168
13200755028	147648512	1159168
13300756507	148000768	1159168
13400754718	148393984	1159168
13500750859	148787200	1159168
13600755801	149049344	1159168
13700755323	149442560	1159168
13800754841	149807104	1159168
13900755442	150200320	1159168
14000755646	150462464	1159168
14100755165	150855680	1159168
14200754201	151224320	1159168
14300752688	151617536	1159168
14400755541	151879680	1159168
14500758445	152272896	1159168
14600756942	152666112	1159168
14700754961	153022464	1159168
14800756131	153284608	1159168
14900756691	153677824	1159168
15000751395	154071040	1159168
15100755953	154464256	1159168
15200756222	154681344	1159168
15300753008	155074560	1159168
15400754468	155467776	1159168
15500752767	155860992	1159168
15600758782	156123136	1159168
15700755491	156516352	1159168
15800754144	156884992	1159168
15900755991	157278208	1159168
16000754872	157671424	1159168
16100754804	157933568	1159168
16200754056	158326784	1159168
16300754068	158720000	1159168
16400752280	159092736	1159168
16500755909	159354880	1159168
16600754388	159748096	1159168
16700751157	160141312	1159168
16800754333	160403456	1159168
16900755588	160796672	1159168
17000754251	161189888	1159168
17100755805	161533952	1159168
17200756437	161927168	1159168
