time	rss	kernel
0	536576	86016
100835121	17698816	2191360
200849248	28368896	2486272
300847315	42139648	2527232
400857785	45858816	2609152
500850203	50446336	3215360
600848677	64311296	3395584
700855704	78721024	3481600
800831813	97259520	4620288
900846062	159117312	5079040
1000850010	164110336	5562368
1100838616	182222848	6049792
1201962662	187576320	6119424
1300828789	197459968	6258688
1400845691	206077952	6320128
1500863520	208486400	6418432
1600853900	218034176	6496256
1700848987	226033664	6709248
1800834283	241213440	6737920
1900847423	253558784	6828032
2001728600	272347136	6930432
2100896550	272883712	6979584
2200929152	274464768	7000064
2300876316	292151296	7036928
2400861583	300752896	7143424
2501574507	309993472	7172096
2600852821	322007040	7274496
2701757976	318181376	7393280
2801581843	332169216	7483392
2900888285	332267520	7483392
3000863890	332304384	7483392
3100861458	332185600	7483392
3200895251	332189696	7483392
3300904836	332324864	7483392
3400879627	332394496	7483392
3500902588	332304384	7483392
3600910768	332304384	7483392
3700891381	332419072	7483392
3800911332	332632064	7483392
3900925712	332582912	7483392
4000902010	332582912	7483392
4100827730	332845056	7483392
4200895297	332759040	7483392
4300899663	332677120	7483392
4400903082	332677120	7483392
4500898502	332681216	7483392
4600905229	332681216	7483392
4700860980	341471232	7512064
4800875745	347004928	7528448
4900882178	349671424	7532544
5000865367	373436416	7573504
5100841471	378273792	7581696
5200848262	394735616	7618560
5300878707	405360640	7634944
5400926824	411058176	7651328
5500865620	419971072	7675904
5600851072	427651072	7700480
5700852066	437874688	7712768
5800894904	445214720	7720960
5900974558	447655936	7737344
6000875768	451248128	7745536
6100848396	454000640	7749632
6200850310	456351744	7753728
6300844525	461332480	7770112
6400846991	463912960	7774208
6500847757	464990208	7774208
6600863928	466432000	7774208
6701491730	467742720	7778304
6800890248	474259456	7794688
6900910772	480182272	7815168
7000908728	482017280	7815168
7100851802	486866944	7823360
7200858897	494469120	7847936
7300860218	502468608	7864320
7400839901	503255040	7868416
7500853815	506105856	7876608
7600868658	507285504	7888896
7700853555	507940864	7892992
7800849902	516177920	7921664
7900918656	515145728	7921664
8000856788	479526912	7921664
8100830632	480436224	7913472
8200847827	477065216	7917568
8300896974	478138368	7917568
8400845834	480227328	7954432
8500850302	483053568	7958528
8600844899	484364288	7962624
8701110418	483356672	7962624
8800836310	490475520	7962624
