time	rss	kernel
0	552960	73728
100777386	21295104	2277376
200784909	30601216	2768896
300784906	45809664	2813952
400816716	49213440	2867200
500788795	53633024	3506176
600787173	69046272	3649536
700781966	85192704	3719168
800782159	106541056	5066752
901970872	147169280	5509120
1000802045	153374720	6000640
1100776569	193208320	6529024
1200799098	234565632	6684672
1300781903	240619520	6737920
1400776193	243335168	6807552
1500784134	244973568	6905856
1601368617	246841344	6995968
1700773099	252243968	7077888
1800827849	259313664	7114752
1900857532	264331264	7139328
2000871090	286593024	7241728
2100900729	291934208	7307264
2200850765	292827136	7397376
2300778448	295882752	7409664
2400789446	318115840	7507968
2500784302	330100736	7577600
2600808099	339021824	7614464
2700777101	341725184	7692288
2800835392	358047744	7868416
2900836089	357978112	7868416
3000831080	357978112	7868416
3100776101	358240256	7868416
3200798733	358359040	7868416
3300768344	359067648	7905280
3400829668	360235008	7909376
3500829108	360329216	7909376
3600831287	360329216	7909376
3700833639	360230912	7909376
3800842340	360751104	7909376
3900786743	360845312	7909376
4000838568	360845312	7909376
4100928767	360976384	7909376
4200844177	360919040	7909376
4300841576	360837120	7909376
4400832080	360837120	7909376
4500892439	360890368	7909376
4600844571	360890368	7909376
4700840702	366891008	7946240
4800850502	375181312	7970816
4900869359	380227584	7974912
5000846738	402743296	8019968
5100789717	409559040	8032256
5200771629	422854656	8056832
5300791094	436805632	8081408
5400767909	441491456	8097792
5500777467	448040960	8122368
5600790272	455327744	8159232
5700789713	463716352	8159232
5800825801	473186304	8171520
5900926298	475283456	8175616
6001489893	478801920	8187904
6100811842	482414592	8192000
6200771967	484642816	8196096
6300787972	490147840	8204288
6400788792	492900352	8220672
6500791466	490098688	8220672
6601025435	494555136	8220672
6700787045	496087040	8224768
6800792953	503787520	8245248
6900785994	511922176	8253440
7000781496	513757184	8261632
7100803383	520515584	8273920
7200783592	529035264	8290304
7300784019	532742144	8302592
7400776671	533626880	8306688
7500774119	538869760	8318976
7600788640	534687744	8331264
7701608975	537542656	8335360
7802320005	559230976	8388608
7900783799	538243072	8388608
8000782220	539828224	8396800
8100784435	541401088	8400896
8200797527	521383936	8404992
8300787865	493518848	8404992
8400771645	496959488	8404992
8500767611	500498432	8404992
8600790923	503775232	8404992
8700784050	513998848	8404992
8800778342	513040384	8400896
8901144061	512032768	8400896
9000795947	516358144	8400896
9100788218	523915264	8400896
9200789000	525656064	8400896
9300785693	529842176	8400896
9401089085	534601728	8400896
9500781591	538808320	8400896
9600799669	543379456	8400896
9700784778	548474880	8400896
9800794202	553193472	8409088
9900791215	553463808	8409088
10000783413	554639360	8409088
10100776555	555802624	8409088
10200787280	558985216	8413184
10300772951	559640576	8413184
10400781529	544178176	8413184
10500784797	554119168	8413184
10600772812	557748224	8413184
10700771729	558526464	8404992
10800791888	559419392	8404992
10900785467	563183616	8409088
11000779862	561573888	8409088
11100770733	564064256	8413184
11200779652	568168448	8413184
11300806777	569434112	8413184
11401121734	575676416	8425472
11500789438	583499776	8441856
11600790043	549056512	8462336
11700774954	534077440	8462336
11800800332	534257664	8462336
11900788058	535515136	8462336
12000785156	529940480	8462336
12100781673	537563136	8466432
12200772541	539131904	8470528
12300787425	550404096	8486912
12400780500	565313536	8499200
12500970311	566247424	8507392
12600795591	575627264	8523776
12700788802	546877440	8531968
12800793234	561426432	8548352
12901005485	579448832	8564736
13000784161	590065664	8572928
13100778618	606236672	8572928
13200848249	610693120	8577024
13300782488	621940736	8597504
13400787884	610177024	8601600
13500773741	610189312	8601600
13600906790	611106816	8601600
13700773301	607875072	8601600
13800794917	609185792	8605696
13900797978	609972224	8609792
14000791070	611807232	8609792
14100779162	613212160	8609792
14200794338	588722176	8609792
14300785818	602877952	8609792
14400781509	604188672	8609792
14500803695	610447360	8613888
14600772460	612282368	8613888
14700802602	613986304	8613888
14800792421	609181696	8613888
14900773116	612913152	8613888
15000791337	614039552	8626176
15100772226	614432768	8626176
15200782356	615743488	8626176
15300784600	617283584	8626176
15400782231	599007232	8626176
15500784624	608178176	8626176
15600774149	610799616	8630272
15700793892	614711296	8634368
15800793317	623083520	8642560
15900791029	625295360	8642560
16000784155	642592768	8663040
16100780990	646787072	8667136
16200779869	649961472	8667136
16300780419	657338368	8671232
16400781785	659795968	8675328
16500783152	662024192	8679424
16600784972	665755648	8679424
16700780252	667566080	8683520
16800774668	669876224	8687616
16900786077	670920704	8687616
17000819720	671969280	8691712
17100795705	669138944	8695808
17200787007	674775040	8695808
17300794769	675725312	8704000
17400786545	676511744	8704000
17500775238	666460160	8732672
17600810819	666386432	8732672
17700795696	666517504	8732672
17800815713	652120064	8744960
17900809571	654233600	8744960
18001517219	654594048	8744960
18100786956	655380480	8744960
18200796787	652460032	8744960
18300803838	652812288	8744960
18400778716	656805888	8744960
18500807876	656867328	8744960
18600789285	657412096	8744960
18700791373	657928192	8744960
18800774150	652070912	8744960
18900793994	652333056	8744960
19000801671	672698368	8790016
19100791280	652767232	8790016
19200782714	658788352	8790016
19300794499	659804160	8790016
