time	rss	kernel
0	528384	69632
100703922	21258240	2093056
200719772	30728192	2560000
300906629	45674496	2596864
400712295	49164288	2650112
500714472	54968320	3313664
600701963	68984832	3452928
700712232	86503424	3530752
800724410	106590208	4632576
901854680	146313216	5070848
1001718384	151367680	5611520
1100702342	198389760	6225920
1200722280	206823424	6324224
1300729788	216494080	6512640
1400800033	222228480	6533120
1500771168	222302208	6533120
1600791414	222302208	6533120
1700762459	222302208	6533120
1800743475	222302208	6533120
1900737546	222302208	6533120
2000727044	224559104	6561792
2100714584	230776832	6627328
2200729033	250015744	6860800
2300696275	256659456	6873088
2400701874	268738560	6918144
2501218669	291172352	7032832
2600726999	291815424	7053312
2700779579	292880384	7053312
2800751127	311967744	7110656
2900731658	323842048	7196672
3000700429	332234752	7249920
3100780682	345124864	7348224
3200740670	346058752	7413760
3300763369	356196352	7561216
3400758530	356007936	7561216
3500772092	356282368	7561216
3600749868	356696064	7561216
3700690304	359055360	7598080
3800755178	359403520	7602176
3900761409	359473152	7602176
4000760385	359469056	7602176
4100792640	359469056	7602176
4200760682	359583744	7602176
4300766081	360067072	7602176
4400795862	359919616	7602176
4500795095	360181760	7602176
4600770171	360071168	7602176
4700769029	360071168	7602176
4800758763	360071168	7602176
4900758148	360194048	7602176
5000762311	360120320	7602176
5100701478	361906176	7663616
5200719817	374091776	7696384
5300697520	377937920	7712768
5400731217	387870720	7729152
5500715807	406204416	7761920
5600883487	411811840	7778304
5700727096	432832512	7819264
5800703935	437813248	7831552
5900694302	443060224	7839744
6000708023	447004672	7868416
6100708601	455131136	7888896
6200731792	471252992	7901184
6300711189	475709440	7913472
6401138180	476860416	7929856
6500706809	481050624	7929856
6600740191	484327424	7938048
6700790542	490168320	7954432
6800713653	489807872	7954432
6900720559	491380736	7958528
7000740028	492691456	7962624
7100724688	495968256	7966720
7200720162	502816768	7979008
7300726098	511860736	7995392
7400717020	513257472	8003584
7501248163	518492160	8011776
7600724625	526782464	8032256
7700740630	532811776	8048640
7800713858	535457792	8056832
7900727568	539226112	8060928
8000686167	535191552	8077312
8100696846	538386432	8081408
8201494721	551358464	8110080
8300733091	550326272	8110080
8400739677	476102656	8122368
8500720263	483958784	8126464
8600744641	486449152	8130560
8700725842	488132608	8130560
8800720269	466018304	8138752
8900709234	472043520	8134656
9000716781	474927104	8134656
9100702350	483287040	8134656
9200712898	488386560	8134656
9300704664	490213376	8138752
9400719086	492310528	8138752
9500698969	489459712	8138752
9600710224	500301824	8138752
9700718485	502005760	8142848
9800702355	504664064	8142848
9900716224	514232320	8142848
10000735891	516579328	8142848
10100721456	522887168	8142848
10200718438	526426112	8142848
10300714046	533880832	8146944
10400706997	537042944	8146944
10500717795	536219648	8146944
10600706409	540561408	8146944
10700692927	543371264	8146944
10800706709	550572032	8151040
10900726657	551698432	8155136
11000701644	548163584	8159232
11100713255	517931008	8163328
11200754010	525979648	8183808
11300720537	530558976	8183808
11400699784	490991616	8187904
11500714173	484048896	8192000
11600707794	489996288	8192000
11700708601	495529984	8192000
11800715332	490790912	8192000
11900722171	494985216	8192000
12000712602	496431104	8192000
12100710347	508489728	8192000
12200707748	499990528	8200192
12300704336	500776960	8200192
12400713036	501964800	8200192
12500713532	495620096	8204288
12600704070	487092224	8224768
12700711841	478904320	8224768
12800714346	468676608	8224768
12900698954	481746944	8224768
13000714189	497606656	8224768
13100716228	512811008	8232960
13200715321	530153472	8253440
13300713368	544686080	8261632
13400726795	557162496	8278016
13500713220	548372480	8286208
13600717388	551243776	8282112
13700694079	548999168	8286208
13800713854	555917312	8290304
13900698817	557559808	8294400
14000713792	556064768	8294400
14100724513	559194112	8298496
14200713467	559403008	8302592
