time	rss	kernel
0	577536	122880
100769858	21241856	2244608
200791696	30822400	2867200
300781150	45916160	2908160
400824782	49332224	2949120
500803235	53415936	3543040
600793026	68390912	3637248
700782936	85151744	3801088
800782424	106139648	5070848
900795741	170852352	5566464
1000764375	176730112	6115328
1100822798	184229888	6279168
1200774340	198402048	6656000
1300778990	206979072	6733824
1400785813	216281088	6832128
1500829312	221790208	6852608
1600805199	222625792	6860800
1700787761	225652736	6975488
1800767808	255012864	7151616
1900783690	255258624	7204864
2000780726	263671808	7221248
2100796114	288161792	7352320
2201456109	291770368	7421952
2300786450	293285888	7475200
2401004690	294825984	7483392
2500855474	316022784	7589888
2602147129	328130560	7651328
2700766792	337625088	7675904
2800772615	339898368	7835648
2900759170	353366016	7933952
3000826101	356798464	7938048
3100827638	356880384	7938048
3200791460	357015552	7938048
3300778722	358985728	7979008
3400820077	357838848	7979008
3500799442	357933056	7979008
3600849838	357998592	7979008
3700779942	358129664	7979008
3800830466	357888000	7979008
3900824448	358539264	7983104
4000830510	358518784	7983104
4100831037	358670336	7983104
4200831143	358526976	7983104
4300831296	358526976	7983104
4400832410	358526976	7983104
4500825108	358526976	7983104
4600827081	358658048	7983104
4700830042	358658048	7983104
4800767573	362082304	8024064
4900779024	370978816	8052736
5000800635	377606144	8060928
5100777211	393043968	8085504
5200781414	407445504	8114176
5300780102	412549120	8126464
5400777742	432775168	8167424
5500751501	438902784	8179712
5600772203	442404864	8187904
5700779759	446636032	8204288
5800794599	455536640	8228864
5900799222	470216704	8241152
6000767113	474411008	8249344
6100801787	475267072	8265728
6200792561	480112640	8269824
6300783069	484306944	8273920
6400779340	486273024	8278016
6500966576	492957696	8290304
6600772899	490524672	8298496
6700996407	491966464	8298496
6801234134	495857664	8306688
6900777190	497430528	8306688
7001372668	511041536	8335360
7100779000	512765952	8339456
7200769056	517476352	8351744
7300790103	525492224	8364032
7400797518	529555456	8372224
7500788676	533966848	8388608
7600799926	537587712	8392704
7700785864	534425600	8400896
7800784670	537702400	8404992
7900842996	560070656	8445952
8000805237	530186240	8454144
8100814351	532160512	8458240
8200784414	534024192	8462336
8300770777	537694208	8482816
8400764802	488755200	8482816
8501468815	492761088	8482816
8600797999	498790400	8486912
8700769642	499306496	8486912
8800798382	510926848	8486912
8900775311	505303040	8486912
9000807179	510914560	8486912
9100786533	514015232	8486912
9200776874	521871360	8486912
9300778928	523575296	8486912
9400785516	525553664	8486912
9500782025	533938176	8486912
9600784339	538001408	8486912
9700771303	542720000	8486912
9800762920	547438592	8486912
9900773482	552534016	8486912
10000779610	555008000	8486912
10100773800	556318720	8486912
10200770817	556597248	8486912
10300795411	559124480	8495104
10400782575	560955392	8495104
10500778964	570654720	8507392
10600832116	569491456	8507392
10700850387	573095936	8515584
10800823128	574664704	8515584
10900819221	565252096	8515584
11000786461	566681600	8515584
11100769366	574160896	8515584
11200793312	578617344	8515584
11300803374	574619648	8519680
11401047687	581042176	8523776
11500781244	592740352	8577024
11600800531	605712384	8577024
11700771651	606605312	8577024
11800780636	605642752	8577024
11900786011	606687232	8581120
12000803621	613109760	8589312
12100794447	602796032	8630272
12201103752	609841152	8642560
12300778975	615493632	8650752
12400793178	616968192	8658944
12500784998	577191936	8667136
12600783643	544256000	8679424
12700858375	561000448	8695808
12800773442	572026880	8704000
12900774045	558477312	8704000
13000805138	577339392	8740864
13100766557	557461504	8736768
13200777555	565719040	8740864
13300782327	568844288	8744960
13400778180	572772352	8744960
13500779035	577085440	8753152
13600786023	584048640	8757248
13700792116	594403328	8761344
13800786253	557412352	8765440
13900771855	558374912	8765440
14000781033	562962432	8765440
14100780957	564404224	8769536
14200802438	555159552	8769536
14300774895	565907456	8769536
14400791299	566956032	8769536
14501162555	572551168	8769536
14600796822	574779392	8769536
14700780310	576614400	8769536
14800783371	579960832	8773632
14900789230	581447680	8773632
15000792575	585240576	8777728
15100838328	585240576	8777728
15200773513	586420224	8777728
15300800623	587419648	8777728
15400777089	541220864	8794112
15500786211	541483008	8794112
15600762210	541212672	8794112
15700772908	540180480	8794112
15800783529	539246592	8794112
15900775773	528265216	8798208
16000786807	531267584	8785920
16100780434	536956928	8785920
16200777255	547819520	8785920
16300776436	548995072	8785920
16400800510	553185280	8785920
16500800962	558202880	8798208
16600778977	567062528	8798208
16700787018	571359232	8798208
16800794121	573063168	8798208
16900766673	575242240	8798208
17001286830	565719040	8798208
17100783641	568864768	8798208
17201230868	573583360	8798208
17300778705	584564736	8814592
17400781461	559153152	8814592
17500774813	570032128	8835072
17600776042	575643648	8835072
17700857963	576692224	8835072
17800780283	577581056	8835072
17900792515	552312832	8835072
18000778290	552050688	8835072
18100780293	553848832	8835072
18201065717	552820736	8839168
18300765930	514207744	8839168
18400788565	488255488	8839168
18500765566	493498368	8839168
18600802336	498524160	8839168
18700785596	507371520	8839168
18800782154	508682240	8839168
18900795749	504995840	8839168
19000807806	505782272	8839168
19100977798	508260352	8843264
19201537268	514674688	8880128
19300785832	473890816	8880128
19400783955	474800128	8880128
19500770360	478863360	8880128
19600782190	479207424	8876032
19701424576	481165312	8876032
19800773107	487587840	8876032
19901421796	489553920	8876032
20000788360	487272448	8876032
20100789906	489107456	8876032
20200787716	490549248	8876032
20300785860	498114560	8876032
20401517735	502702080	8876032
20500779632	504238080	8876032
20600782680	510238720	8876032
20700783653	514318336	8876032
20800783334	521658368	8876032
20900783261	527687680	8876032
21000782944	532885504	8876032
21101197449	537833472	8876032
21200798648	538243072	8876032
21300780132	539947008	8876032
21400782064	545501184	8876032
21500763944	546942976	8962048
21600776303	535736320	8876032
21700780902	538095616	8892416
21800765123	522108928	8892416
21900775830	512499712	8892416
22000772519	492048384	8892416
22100766207	496242688	8892416
22200766806	496119808	8892416
22300778900	499257344	8896512
22400780612	499769344	8896512
22500778986	509075456	8896512
22600785782	510418944	8900608
22700764706	513429504	8900608
22800776598	521687040	8900608
22900774006	509259776	8900608
23001207096	513101824	8900608
23100760068	524963840	8900608
23200781676	528142336	8900608
23300789052	521220096	8900608
23400766450	523460608	8900608
23500793116	534339584	8904704
23600795422	552296448	8916992
23700781738	568324096	8921088
23800780467	582217728	8937472
23900780949	600301568	8953856
24000761052	608538624	8962048
24100762017	611147776	8966144
24200769381	613916672	8970240
24300764866	615288832	8974336
24400789175	617095168	8978432
24500797771	618930176	8978432
24600774661	610103296	8982528
24700769158	614125568	8986624
24800768042	629022720	8990720
24900772404	619483136	8998912
25000779966	604323840	8998912
25100794327	606420992	8998912
25200784708	598499328	8998912
25300787992	599547904	8998912
25400788515	605786112	8998912
25500776079	586022912	8998912
25600787542	596025344	9011200
25700833362	601739264	9023488
25800777472	612093952	9039872
25900788245	612024320	9039872
26000767386	586874880	9039872
26100777195	593014784	9039872
26200804355	597733376	9039872
26300768382	601378816	9039872
26400789607	612519936	9039872
26500798320	613949440	9039872
26600784686	616157184	9039872
26701282093	596877312	9039872
26800786301	598073344	9039872
26900795726	569872384	9035776
27000788186	573411328	9035776
27100762603	575115264	9035776
27200776975	580321280	9035776
27300806592	583467008	9035776
27400777966	584384512	9039872
27500778276	592510976	9039872
27600779646	595394560	9039872
27700776407	592097280	9039872
27800777386	593272832	9039872
27900790488	594190336	9039872
28000780000	595501056	9039872
28100784014	600219648	9039872
28200766441	601296896	9039872
28300779652	602345472	9039872
28400780749	603394048	9039872
28500778172	604381184	9039872
28600793196	610877440	9039872
28700775344	612970496	9039872
28800778216	614019072	9039872
28900775755	614969344	9043968
29000781872	623489024	9048064
29100768219	630128640	9048064
29200771301	632610816	9052160
29300782898	625111040	9052160
29400791024	626814976	9052160
29500765310	628256768	9052160
29600775012	630513664	9093120
29700773883	632479744	9097216
29800778659	618590208	9113600
29900775015	600109056	9113600
30000776089	604401664	9113600
30100778097	609345536	9113600
30200775713	613687296	9113600
30300778700	617594880	9113600
30400783927	618774528	9113600
30500778235	620216320	9117696
30600793797	620302336	9117696
30700795878	621350912	9121792
30800802246	630886400	9121792
30900772104	634032128	9121792
31000787136	635265024	9121792
31100793708	640770048	9121792
31200780107	646053888	9121792
31300795033	651546624	9125888
31400764996	657051648	9134080
31500782740	663474176	9138176
31600781282	663986176	9138176
31700773864	663859200	9150464
31800779407	664006656	9150464
31900774629	665989120	9150464
32000790968	671793152	9166848
32100782428	618434560	9199616
32200780438	628908032	9199616
32300796689	629432320	9199616
32400783005	620613632	9199616
32500796489	624836608	9199616
32600775258	571211776	9199616
32700794899	587022336	9199616
32800780190	579706880	9203712
32900765675	584818688	9203712
33000786797	582893568	9203712
33100784958	597442560	9207808
33200788035	600576000	9207808
33300767010	603197440	9207808
33401723803	610516992	9216000
33500783079	582217728	9224192
33600778538	586530816	9216000
33701501274	586792960	9216000
33800780477	576606208	9216000
33900794238	584863744	9228288
34000783793	589094912	9236480
34100783737	591056896	9236480
34200781217	595181568	9236480
34300778057	602390528	9244672
34400797809	617463808	9256960
34500782576	632406016	9277440
34600781692	652521472	9297920
34700775647	661565440	9310208
34800777601	676417536	9322496
34900799888	681410560	9330688
35000791397	685576192	9342976
35100785096	694001664	9359360
35200805099	697745408	9363456
35300782500	693379072	9363456
35400779393	684183552	9367552
35500783506	687460352	9371648
35600789215	688701440	9371648
35700770929	700162048	9375744
35800802013	702062592	9375744
35900804405	703242240	9379840
36000791115	732336128	9428992
36101724697	726204416	9437184
36200794033	727908352	9437184
36300778880	676241408	9441280
36400796574	678993920	9449472
36501656664	654274560	9478144
36600779986	627134464	9482240
36701789258	612958208	9482240
36800986152	613744640	9482240
36900802106	615055360	9482240
37000797133	615714816	9482240
37100775609	618201088	9482240
37200776182	620965888	9482240
37300787957	617426944	9482240
37400786981	637739008	9482240
37500777702	642342912	9482240
37600782533	637251584	9465856
37700778515	642756608	9465856
37800769015	644460544	9465856
