time	rss	kernel
0	675840	143360
100646700	21200896	2125824
200663593	32600064	2580480
300653330	46608384	2621440
400636558	49319936	2666496
500655407	56504320	3346432
600634922	71188480	3502080
700654157	87949312	3538944
800638785	108167168	4923392
901682450	173260800	5488640
1000659209	180031488	5922816
1100639100	200200192	6406144
1200654614	207925248	6455296
1300648141	216948736	6594560
1401224842	222482432	6615040
1500646928	225718272	6754304
1600653148	237428736	6868992
1700675515	279506944	7032832
1800645810	267796480	7061504
1900652702	287625216	7217152
2000701053	290971648	7233536
2100677004	292700160	7270400
2200654827	320327680	7331840
2300661698	339075072	7446528
2400654141	347656192	7475200
2501401544	381968384	7720960
2600654773	362237952	7753728
2700700368	372506624	7905280
2800733208	372338688	7905280
2900706426	372260864	7905280
3000699611	372654080	7905280
3100688848	360624128	7942144
3200696356	360882176	7974912
3300698875	360919040	7974912
3400707335	360853504	7974912
3500707421	360992768	7979008
3600711780	360742912	7979008
3700701583	361500672	7979008
3800713783	361291776	7979008
3900720030	361291776	7979008
4000706799	361291776	7979008
4100705807	361476096	7979008
4200704232	361476096	7979008
4300707188	361529344	7979008
4400699667	361467904	7979008
4500645384	362885120	7979008
4602021679	374661120	8011776
4700648778	377061376	8024064
4800687455	385703936	8036352
4900668238	404901888	8077312
5000653460	409726976	8085504
5101363633	431792128	8130560
5200662097	437157888	8142848
5300685486	446291968	8163328
5400694710	449060864	8187904
5500656291	459395072	8204288
5600891037	473288704	8228864
5700669056	477351936	8232960
5800664836	475295744	8245248
5900659144	479879168	8249344
6000656503	483041280	8253440
6100665689	487104512	8261632
6200641258	492343296	8265728
6300650956	489684992	8269824
6400652422	490864640	8269824
6500670090	495190016	8286208
6600658449	496685056	8286208
6700656080	504922112	8306688
6800655829	512708608	8318976
6900651590	515321856	8323072
7000680087	525041664	8347648
7100653929	527867904	8351744
7200649545	533438464	8376320
7300655800	534818816	8376320
7400654466	533966848	8392704
7500660234	537251840	8392704
7600686070	554770432	8433664
7700736726	554770432	8433664
7800702027	504877056	8437760
7900666215	485879808	8441856
8000698650	486797312	8441856
8100680700	488361984	8441856
8200656044	469082112	8441856
8300665429	474312704	8445952
8400658576	477589504	8445952
8500659074	484741120	8450048
8600654706	490770432	8450048
8700661954	493654016	8454144
8800679500	492695552	8454144
8900657878	491065344	8454144
9000674883	498667520	8454144
9100638714	505561088	8454144
9200655162	506863616	8454144
9300643180	511188992	8454144
9400652912	516464640	8454144
9500670325	522870784	8458240
9600728056	528334848	8458240
9700659326	537493504	8458240
9800659791	538689536	8462336
9900663232	542670848	8462336
10000660314	543473664	8462336
10100678128	547373056	8474624
10200665414	548933632	8474624
10300657583	558370816	8482816
10400648467	548458496	8482816
10500658091	553123840	8507392
10600637506	563478528	8519680
10700659833	562819072	8523776
10800668654	563568640	8523776
10900642988	566140928	8523776
11000653789	572956672	8527872
11100657890	577806336	8540160
11200651746	564875264	8544256
11300650165	568676352	8552448
11400651022	532733952	8552448
11500654648	543997952	8552448
11600652088	544366592	8552448
11700663177	525488128	8552448
11800638904	534573056	8552448
11900656272	521617408	8564736
12000664932	525578240	8597504
12100640121	538091520	8609792
12200652481	550543360	8626176
12300653616	569516032	8654848
12400651223	578945024	8671232
12500670974	592543744	8687616
12600636712	598917120	8704000
12700659397	573231104	8708096
12800658232	579014656	8708096
12900662435	574365696	8708096
13000647315	593874944	8744960
13100657608	568221696	8744960
13200658327	571322368	8744960
13300664786	579842048	8744960
13400643181	560832512	8736768
13500653417	568029184	8736768
13600656520	570257408	8736768
13700643763	572846080	8740864
13800653848	590524416	8777728
13900653008	553021440	8777728
14000661934	560881664	8777728
14100688645	573464576	8781824
14200647988	567791616	8781824
14300664592	579325952	8781824
14400656698	580898816	8781824
14500651037	580468736	8785920
14600643337	581148672	8785920
14700665830	584544256	8794112
14800665329	584806400	8794112
14900648574	585986048	8794112
15000655172	574312448	8794112
15100641905	556236800	8794112
15200659859	558211072	8794112
15300639158	565407744	8806400
15400654291	554958848	8806400
15500649699	554082304	8810496
15600654878	553050112	8810496
15700666881	542511104	8810496
15800661730	547930112	8810496
15900674000	558284800	8810496
16000665864	549969920	8790016
16100652259	552849408	8790016
16200658315	557436928	8794112
16300653792	561205248	8794112
16400667742	568152064	8794112
16500657678	571559936	8794112
16600644736	573476864	8794112
16700660417	570421248	8794112
16800661252	572125184	8794112
16900658830	576712704	8794112
17000654029	580251648	8794112
17100653646	581431296	8794112
17200651404	582479872	8794112
17300655106	579801088	8794112
17400657833	581701632	8794112
17500648422	591814656	8794112
17600654979	593252352	8794112
17700659219	594694144	8794112
17800658569	600211456	8794112
17900640527	602570752	8794112
18000654819	608186368	8794112
18100652428	610119680	8794112
18200659161	596824064	8798208
18300649396	580759552	8798208
18400654765	581414912	8798208
18500667733	602890240	8835072
18600654379	581939200	8835072
18700652248	586260480	8835072
18800652038	592158720	8835072
18900656666	595042304	8839168
19000641465	601935872	8839168
19100655097	604950528	8839168
19200655329	608096256	8839168
19300663268	606715904	8839168
19400671689	608272384	8839168
19500661124	609714176	8839168
19600669512	619544576	8839168
19700655605	617779200	8839168
19800668301	621645824	8867840
19900657442	630165504	8867840
20000656108	634228736	8867840
20100655151	640651264	8871936
20200640299	645910528	8876032
20300654079	647065600	8876032
20400655623	647737344	8876032
20500651582	649342976	8876032
20600657964	618074112	8896512
20700659311	618893312	8896512
20800654786	624005120	8896512
20900640030	573190144	8900608
21000650709	580268032	8912896
21100659215	589574144	8916992
21200639558	592457728	8916992
21300653465	580943872	8925184
21400654968	583454720	8945664
21500661306	584105984	8945664
21600639884	570609664	8945664
21700654604	581021696	8953856
21800646171	576425984	8949760
21900683669	585449472	8949760
22000661224	572170240	8949760
22100670131	575840256	8949760
22200655675	579772416	8949760
22300653217	590405632	8974336
22400659383	602451968	8978432
22500658477	605204480	8978432
22600668725	602517504	8978432
22700650991	604479488	8982528
22800651976	614477824	8994816
22900639241	616439808	8998912
23000643180	620752896	9003008
23100652628	628355072	9003008
23200655042	641200128	9019392
23300655549	658370560	9048064
23400655674	675495936	9076736
23500658800	687685632	9093120
23600648398	706428928	9113600
23700644971	708145152	9117696
23801378414	712597504	9129984
23900653929	718798848	9142272
24001330925	721522688	9142272
24100657044	722821120	9150464
24200658510	719568896	9154560
24300654145	723472384	9162752
24400669586	727756800	9170944
24500654973	742699008	9191424
24600641355	744886272	9195520
24700650433	748032000	9199616
24800659552	755896320	9216000
24900696946	758255616	9224192
25000676902	750604288	9228288
25100664450	760696832	9240576
25200653111	763801600	9244672
25300697713	763764736	9244672
25400655509	763125760	9248768
25500657506	764436480	9252864
25600659474	745549824	9256960
25700633956	746971136	9256960
25800666876	755224576	9261056
25900654410	759926784	9265152
26001367045	779034624	9273344
26100654038	759926784	9285632
26200755029	760188928	9285632
26300656951	773091328	9289728
26400652743	778186752	9289728
26500653614	780120064	9289728
26600660173	788832256	9289728
26700643475	784723968	9293824
26800655117	788299776	9293824
26900658773	796688384	9297920
27000655493	799834112	9297920
27100655944	802406400	9306112
27200650106	801382400	9306112
27300652565	804528128	9306112
27400668621	805969920	9310208
27500824960	812756992	9322496
27600658315	814198784	9322496
27700656534	815116288	9326592
27800669396	813707264	9326592
27900655657	814755840	9330688
28000652415	820744192	9342976
28100661398	826134528	9347072
28200656685	827572224	9351168
28300656040	829407232	9355264
28400660551	838344704	9371648
28500647858	842539008	9383936
28600656442	843571200	9396224
28700648748	846368768	9400320
28800645071	849907712	9412608
28900657007	845508608	9416704
29000651820	851144704	9420800
29100663404	870797312	9474048
29200657439	873549824	9474048
29300660229	854065152	9478144
29400652785	861405184	9478144
29500654862	866123776	9490432
29600656576	874512384	9494528
29700657162	877899776	9498624
29800672393	884322304	9502720
29900661043	892710912	9506816
30000653670	897298432	9510912
30100639908	901955584	9515008
30200708445	908902400	9523200
30300677872	918470656	9539584
30400650117	920305664	9547776
30501192786	900956160	9555968
30600656126	903700480	9555968
30700676424	903045120	9555968
30800660635	888692736	9555968
30900656383	892641280	9555968
31000656614	896561152	9555968
31100654141	898019328	9555968
31200651204	898412544	9555968
31300879022	863821824	9555968
31400708152	860446720	9547776
31500658426	867913728	9551872
31600663441	868569088	9551872
31700657988	869502976	9555968
31800901010	870273024	9564160
31900659631	875778048	9568256
32000654482	873836544	9572352
32100657987	874491904	9572352
32200669142	878092288	9596928
32300649548	883204096	9596928
32400656608	887136256	9596928
32500657145	893296640	9601024
32600653835	886505472	9621504
32700644627	897282048	9641984
32800651616	903663616	9646080
32900654284	871235584	9646080
33000673868	870383616	9629696
33100657564	872697856	9625600
33200644282	849866752	9625600
33300649637	860090368	9629696
33400651263	863010816	9629696
33500647855	848687104	9629696
33600658215	852619264	9629696
33700643407	856387584	9629696
33800648745	866893824	9629696
33900651229	883277824	9629696
34000653519	895631360	9637888
34100651912	908087296	9650176
34200650490	922009600	9666560
34300668147	925982720	9670656
34400650414	930177024	9682944
34500660399	937533440	9695232
34600644420	936755200	9699328
34700638597	938983424	9703424
34800632609	941727744	9703424
34900655769	945004544	9707520
35000641112	933781504	9752576
35100642583	885960704	9756672
35200657578	888147968	9752576
35300672059	866697216	9752576
35400669118	867221504	9752576
35500645838	867991552	9752576
35600659280	868253696	9752576
35701231810	868921344	9752576
35800668779	873340928	9756672
35900654828	853233664	9756672
36000670937	858370048	9764864
36100665279	861986816	9768960
36200658335	862248960	9768960
36300651425	862511104	9768960
36400652110	836222976	9768960
36500652181	838758400	9768960
36600641867	842690560	9768960
36700656046	845705216	9781248
36800729560	819912704	9781248
36900695628	823668736	9781248
37000659921	824471552	9781248
37101319302	825647104	9781248
37200653900	801742848	9781248
37300651328	804986880	9781248
37400644970	808652800	9781248
37500653371	814944256	9781248
37600669018	816648192	9781248
37700661507	823885824	9781248
37800670804	826290176	9781248
37900651096	754270208	9846784
38000639005	755417088	9846784
38100658259	756072448	9846784
38200640557	756203520	9846784
38300639504	713072640	9846784
38400662389	715431936	9846784
38500664775	717266944	9846784
38600661935	718053376	9846784
38700654457	718970880	9846784
38800656635	723259392	9846784
38900965042	718159872	9846784
39000660190	718946304	9846784
39100654530	719724544	9846784
39200655631	726671360	9846784
39300662939	734474240	9846784
39400641148	735653888	9846784
39500653956	728707072	9846784
39600659725	736419840	9846784
39700662690	736681984	9846784
39800679595	736903168	9846784
39900653354	730963968	9846784
40000671791	694202368	9904128
40100659094	697085952	9904128
