time	rss	kernel
0	532480	69632
100740318	21360640	2113536
200738761	29773824	2572288
300744630	44605440	2654208
400753948	49094656	2699264
500733755	53059584	3362816
600743759	67649536	3522560
700750094	84381696	3653632
800750418	157581312	4784128
900739566	150302720	5337088
1000786740	174051328	5771264
1102615653	188243968	6475776
1200751950	196837376	6750208
1300750897	206565376	6832128
1400747170	215633920	6983680
1500774398	218152960	7024640
1600728001	221016064	7184384
1700755783	250380288	7467008
1800947213	249782272	7524352
1901221870	256897024	7577600
2001599999	268873728	7647232
2101366737	284532736	7741440
2200729809	286433280	7761920
2300757948	288395264	7811072
2400752357	322199552	7921664
2501551831	318156800	7958528
2600747369	327667712	8032256
2701474719	326459392	8142848
2801385851	337424384	8212480
2901788485	342761472	8298496
3000794132	342904832	8302592
3100790365	343273472	8302592
3200795229	343334912	8306688
3300730610	344907776	8327168
3400785811	346083328	8368128
3500794718	344784896	8368128
3600824359	344784896	8368128
3700761687	344596480	8368128
3800737701	344727552	8368128
3900814790	345153536	8368128
4000797606	345153536	8368128
4100831822	345112576	8368128
4200831697	345378816	8368128
4300803771	345378816	8368128
4400752555	345378816	8368128
4500787708	345489408	8368128
4600803441	345460736	8368128
4700753766	345579520	8368128
4800760918	356438016	8417280
4900768780	364310528	8437760
5000746971	368107520	8445952
5100748302	389840896	8523776
5200731122	395268096	8531968
5300750419	413331456	8605696
5400750433	422342656	8638464
5500932077	428097536	8679424
5600765982	438870016	8704000
5700768677	440602624	8728576
5800757767	456331264	8744960
5900747299	462012416	8769536
6000731329	463613952	8794112
6100738195	467091456	8806400
6200746117	471744512	8810496
6300736658	471236608	8814592
6400747669	477495296	8830976
6500748305	477036544	8830976
6600749889	476667904	8835072
6700768350	482156544	8843264
6800748560	480092160	8851456
6900769211	489041920	8880128
7000751311	496697344	8900608
7100759384	497655808	8904704
7200759720	502849536	8912896
7300753650	511897600	8970240
7400754525	519880704	8998912
7500734238	513306624	9003008
7600750735	517894144	9011200
7700737316	515317760	9011200
7800752915	519991296	9015296
7900790246	526192640	9105408
8000757008	510480384	9109504
8100753545	484511744	9117696
8200734435	470921216	9236480
8300745369	461848576	9269248
8400751393	467841024	9273344
8500748115	469475328	9281536
8600756019	475291648	9281536
8700732908	458403840	9392128
8800749816	464973824	9437184
8900746514	471511040	9437184
9000758213	473341952	9441280
9100747105	467804160	9441280
9200745683	474304512	9445376
9300743974	474714112	9482240
9400747818	483893248	9494528
9500747551	481099776	9494528
9600771613	485773312	9494528
9700772247	495611904	9498624
9800756480	497676288	9502720
9900759445	507338752	9519104
10000770877	509661184	9523200
10100746894	515076096	9523200
10200773429	519102464	9535488
10300755981	517627904	9539584
10400757734	521080832	9543680
10500760190	524390400	9613312
10600756726	517115904	9863168
10700732950	519561216	9953280
10800765188	524754944	9994240
10900769182	519380992	10113024
11000747668	526766080	10125312
11100745493	537460736	10166272
11200756108	531365888	10170368
11300751007	539537408	10190848
11400752651	539959296	10190848
11500761439	544440320	10203136
11600744219	548253696	10227712
11700745687	543047680	10280960
11800734242	527515648	10297344
11900749264	488751104	10375168
12000743971	498704384	10383360
12100754185	497991680	10387456
12200760086	495329280	10416128
12300740796	502095872	10420224
12400750078	500359168	10448896
12500757210	513769472	10452992
12600734754	528142336	10452992
12700762378	541536256	10452992
12800747620	560603136	10477568
12900736022	568762368	10518528
13000731490	582279168	10563584
13100751726	583016448	10584064
13200777592	557178880	10596352
13300734838	564740096	10592256
13400749273	562188288	10625024
13500746734	541679616	10911744
13600752083	546918400	10948608
13701425029	544944128	10985472
13800764846	545087488	10997760
13901427218	555114496	11005952
14000734201	555991040	11010048
14100736206	536264704	11014144
14200748941	537677824	11022336
14300752116	538583040	11022336
14400751158	543105024	11051008
14500749219	513032192	11141120
14600768087	525123584	11149312
14700754184	524177408	11153408
14801443763	522964992	11165696
14900748465	526749696	11165696
15000748480	521838592	11165696
15100752921	534507520	11169792
15200736998	524873728	11173888
15300762918	522203136	11202560
15400732758	523022336	11264000
15501582762	507498496	11284480
