time	rss	kernel
0	532480	69632
100698979	21049344	2138112
200714795	30744576	2531328
300731456	45449216	2584576
400719722	49111040	2637824
500721368	54681600	3276800
600722052	68288512	3432448
700721483	84750336	3600384
800722684	97841152	5230592
901676546	165601280	5623808
1000713483	175218688	6107136
1100712425	188211200	6623232
1200711214	215650304	6926336
1300729085	214679552	7139328
1400714189	224653312	7208960
1501725100	230719488	7286784
1600713759	231079936	7286784
1700713766	230969344	7286784
1800778952	230969344	7286784
1900716966	230969344	7286784
2000773904	230969344	7286784
2100746194	231043072	7286784
2200747721	234061824	7413760
2300713049	233541632	7413760
2400785877	233418752	7413760
2500816768	233799680	7434240
2600712559	233799680	7434240
2700737785	233799680	7434240
2800708213	244219904	7606272
2900967578	252760064	7725056
3000726018	261165056	7741440
3100747655	284049408	7876608
3201830147	288243712	7921664
3300732005	289345536	7929856
3400727482	289443840	7929856
3500754960	324476928	8065024
3600723454	321540096	8024064
3700728867	329932800	8073216
3800715308	327667712	8110080
3900799482	327864320	8110080
4000726762	343216128	8232960
4100740567	343699456	8232960
4200742235	343838720	8232960
4300742580	343973888	8232960
4400715757	343990272	8232960
4500738353	345776128	8237056
4600711409	346943488	8290304
4700798965	346411008	8290304
4800778503	345735168	8290304
4900779023	345718784	8290304
5000782024	346050560	8294400
5100747261	346132480	8294400
5200778969	346267648	8294400
5300776733	346267648	8294400
5400780720	346148864	8294400
5500781763	346148864	8294400
5600782228	346148864	8294400
5700778013	346148864	8294400
5800717220	351006720	8306688
5900735429	363663360	8347648
6000729964	366206976	8351744
6100730352	381669376	8380416
6200724160	394100736	8409088
6300710990	402448384	8441856
6400736429	419557376	8511488
6500724524	425013248	8519680
6600710591	432246784	8552448
6700692637	441487360	8577024
6801099325	447987712	8593408
6900841171	459194368	8630272
7000712856	463826944	8654848
7100725241	463777792	8667136
7200721008	468803584	8671232
7300733247	469573632	8679424
7400727158	475774976	8704000
7500721583	479408128	8708096
7600724859	476631040	8712192
7700734445	478740480	8712192
7800726227	479080448	8724480
7900710712	483532800	8736768
8000724960	496472064	8777728
8100723045	494927872	8785920
8200726187	502734848	8830976
8300735763	511369216	8847360
8401418209	512163840	8851456
8500744122	512958464	8908800
8600709322	518426624	8912896
8700730810	502136832	9015296
8800724816	498507776	9060352
8900707808	499212288	9068544
9001641966	489082880	9236480
9100723716	487268352	9248768
9200728295	491622400	9261056
9300726483	497254400	9261056
9400744566	496275456	9306112
9500733996	500047872	9310208
9600717185	505462784	9318400
9700730169	509685760	9322496
9800716136	515342336	9322496
9900717807	491950080	9338880
10000729649	454565888	9445376
10100718907	461221888	9453568
10200743138	476397568	9457664
10300715441	470388736	9457664
10400732323	475381760	9457664
10500713395	474042368	9461760
10600718239	482803712	9461760
10700728435	485228544	9461760
10800734546	494813184	9461760
10900724826	500473856	9461760
11000726878	501706752	9465856
