time	rss	kernel
0	561152	102400
100713079	21463040	2166784
200748974	30162944	2650112
300755079	45002752	2727936
400789853	49115136	2772992
500723138	53342208	3465216
601143638	67723264	3600384
700739742	84205568	3772416
800752515	155578368	4894720
900735416	135315456	5189632
1001823358	174125056	5976064
1101128835	185135104	6356992
1200719892	197664768	6766592
1300729048	218628096	6889472
1400732663	223424512	7139328
1500714415	231780352	7245824
1600777269	234577920	7327744
1700742998	244572160	7397376
1800716009	253493248	7442432
1900732769	263303168	7487488
2000733950	285302784	7696384
2100990962	286244864	7720960
2200722484	287416320	7725056
2300934031	290488320	7725056
2400746033	329158656	7888896
2500753258	322883584	7954432
2600741905	331137024	8015872
2700721052	330321920	8089600
2800779843	346296320	8278016
2900779698	346304512	8278016
3000782888	346636288	8278016
3100805358	346501120	8278016
3200781760	347156480	8278016
3300788914	346836992	8278016
3400751733	347070464	8282112
3500719866	349474816	8318976
3600791969	349769728	8323072
3700781929	348258304	8323072
3800792670	348688384	8323072
3900785597	348635136	8323072
4000818717	348491776	8323072
4100787759	348512256	8323072
4200788636	348758016	8323072
4300783087	348680192	8323072
4400784019	348680192	8323072
4500784165	348778496	8323072
4600784686	348778496	8323072
4700741668	355467264	8388608
4800748593	367099904	8425472
4900723837	367308800	8441856
5000734494	390033408	8511488
5100751629	396587008	8540160
5200738832	408838144	8585216
5300764261	423153664	8626176
5400717416	428777472	8679424
5500743158	436957184	8704000
5600738128	441233408	8728576
5700737602	455680000	8761344
5800739004	463196160	8769536
5900725093	463446016	8814592
6000726969	468361216	8790016
6100734642	471547904	8794112
6200734636	472391680	8798208
6300736386	478543872	8822784
6400722656	477822976	8826880
6500736990	477900800	8830976
6600750054	482037760	8835072
6700738168	481067008	8839168
6800740627	489963520	8863744
6900721067	497487872	8871936
7000727668	497209344	8880128
7100735927	504045568	8908800
7200745025	512262144	8949760
7300762760	521420800	8986624
7400747684	514433024	8986624
7500728484	517099520	8994816
7600753055	516845568	9003008
7700738711	521469952	9007104
7800729889	523100160	9162752
7900742998	507785216	9170944
8000737731	510320640	9175040
8100721989	512765952	9183232
8200730334	518664192	9191424
8300738000	521543680	9191424
8400721977	528449536	9203712
8500739047	531230720	9207808
8600751450	537210880	9211904
8700724430	505765888	9367552
8800727071	467972096	9408512
8900732900	463589376	9474048
9000732848	482271232	9474048
9100735936	472334336	9510912
9200746898	475910144	9515008
9300741389	475230208	9519104
9400740088	478801920	9519104
9500740949	485875712	9523200
9600738377	490278912	9523200
9700731488	495484928	9539584
9800935125	503873536	9539584
9900726395	505516032	9543680
10000734796	507244544	9543680
10100735303	512626688	9551872
10200740924	511631360	9551872
10300933416	512344064	9555968
10400734790	507478016	9588736
10500742699	506257408	9822208
10600750435	506732544	9900032
10700733167	509919232	9900032
10800741010	502525952	10018816
10900739645	518111232	10072064
11000735647	508493824	10080256
11100741474	515444736	10084352
11200733960	513974272	10084352
11300750060	522702848	10100736
11400739507	523632640	10104832
11500724717	531656704	10108928
11600766644	524402688	10162176
11700740579	500580352	10199040
11800724289	477609984	10252288
11900750946	475320320	10256384
12000717052	473243648	10268672
12100737927	476667904	10268672
12200732873	479555584	10289152
12300744420	465825792	10600448
12400740140	477835264	10690560
12500735022	493948928	10690560
12600733392	503640064	10690560
12700760666	521588736	10690560
12800724933	527609856	10723328
12900729503	526491648	10723328
13000732083	541409280	10739712
13100750875	542478336	10739712
13200741951	503533568	10833920
13300748220	514723840	10842112
13400738696	510779392	10883072
13500724456	513445888	10887168
13600730031	521416704	10932224
13700724115	517140480	10969088
13800735559	512483328	10973184
13900738160	511647744	10973184
14000738050	514306048	10977280
14100776220	494399488	11005952
14200732177	475930624	11018240
14300720137	481964032	11018240
14400731120	493682688	11022336
14500731877	487632896	11026432
14600735454	502034432	11026432
14700899938	484106240	11026432
14800758965	495374336	11030528
14900744108	506982400	11030528
15000724419	490041344	11038720
15101747312	487260160	11042816
15200913972	470450176	11042816
15300779166	469815296	11055104
15400738595	470274048	11055104
15500736551	474689536	11055104
15600735085	477691904	11055104
15700730618	479596544	11071488
15800733085	492240896	11079680
15900717215	492580864	11079680
16000718156	500649984	11079680
16100731906	513896448	11079680
16200748300	509382656	11141120
16300737853	517287936	11145216
16400745021	519974912	11177984
16500721322	519204864	11190272
16600736641	522186752	11190272
16700741366	521371648	11198464
16800718110	527044608	11202560
16900737029	530649088	11202560
17000748763	535498752	11206656
17100824372	533430272	11210752
17200754124	535056384	11214848
17300739738	536973312	11214848
17400749277	534757376	11218944
17500739312	535842816	11218944
17600746012	539901952	11223040
17700719693	541519872	11223040
17800935843	541405184	11223040
17900731597	538128384	11255808
18000731930	538423296	11268096
18100752889	538214400	11296768
18200750906	542617600	11321344
18300723500	540688384	11329536
18400736711	539742208	11329536
18501837703	547356672	11337728
18600740062	549158912	11341824
18700745884	556511232	11366400
18800748350	549371904	11366400
18900755385	552738816	11370496
19000736863	550768640	11370496
19100737974	556593152	11386880
19200744201	560701440	11436032
19300747666	556171264	11456512
19400740942	560353280	11464704
19500732044	561004544	11464704
19600954082	565968896	11468800
19700740422	569077760	11476992
19800733425	574205952	11476992
19900724550	577605632	11476992
20000738688	578068480	11476992
20100736849	580354048	11476992
20200739544	581898240	11476992
20300742588	591904768	11497472
20400728367	591372288	11497472
20500735664	594759680	11497472
20600729001	603295744	11505664
20700734779	608043008	11530240
20800724634	614031360	11534336
20900751141	618770432	11563008
21000748760	626765824	11591680
21100748186	626176000	11595776
21200741049	629764096	11616256
21300742142	632172544	11620352
21400738740	634118144	11677696
21500733349	631721984	11845632
21600724006	634880000	11911168
21700722712	641142784	11927552
21801341889	637001728	11984896
21900737278	639180800	12062720
22000743623	648105984	12107776
22100759405	650440704	12124160
22200729338	653312000	12144640
22300740205	652312576	12148736
22400721746	656961536	12152832
22500723654	659615744	12161024
22600735838	662716416	12165120
22700735586	675905536	12206080
22800735098	651542528	13131776
22901366498	598396928	13574144
23000739783	610791424	13697024
23100724694	619876352	13733888
23200742735	623734784	13766656
23300733324	629886976	13791232
23400809815	635228160	13844480
23500771680	636190720	13852672
23600739430	643833856	13864960
23700719314	638648320	13922304
23800738974	625868800	13934592
23900733546	634261504	13946880
24000734749	648527872	13959168
24100735959	664489984	13991936
24200739327	679768064	14012416
24300741897	694063104	14036992
24400738377	698716160	14045184
24500768621	710746112	14069760
24600749684	712994816	14073856
24700748919	710746112	14110720
24800728603	719659008	14192640
24900734194	721207296	14196736
25000752385	720355328	14225408
25100755152	720056320	14241792
25200738445	723771392	14245888
25300724171	729657344	14270464
25400748621	655994880	14548992
