time	rss	kernel
0	647168	106496
100867454	21725184	2306048
200883485	32157696	2768896
300874585	46379008	2822144
400880194	49233920	2899968
500865860	55652352	3452928
600869056	68849664	3670016
700877207	85135360	3780608
800875689	97755136	5320704
902436792	154951680	5533696
1000882000	174493696	6086656
1100885529	188284928	6676480
1200863447	201007104	7004160
1300875115	210612224	7098368
1400872796	217993216	7147520
1500890997	220508160	7176192
1600906163	226619392	7200768
1700875906	269496320	7536640
1800861260	253349888	7593984
1900861490	264310784	7634944
2000858442	284119040	7753728
2100865995	286523392	7852032
2200889711	288677888	7860224
2300864358	305135616	7925760
2400862691	327499776	8032256
2500860901	324558848	8089600
2600859966	343322624	8179712
2700889167	330100736	8253440
2800861885	343166976	8417280
2900915346	343162880	8437760
3000871258	343220224	8437760
3100891040	343314432	8437760
3200863976	343719936	8458240
3300863741	343552000	8458240
3400882340	343769088	8462336
3500921940	344309760	8462336
3600890268	343810048	8462336
3700890043	343793664	8462336
3800924472	344240128	8462336
3900930609	344113152	8462336
4000897670	344096768	8462336
4100935694	344096768	8462336
4200933504	344379392	8462336
4300928803	344379392	8462336
4400891698	344510464	8462336
4500926665	344469504	8462336
4600867429	345501696	8486912
4700962257	357437440	8519680
4800861438	361353216	8527872
4900881560	368545792	8540160
5000887577	390037504	8581120
5100868831	394096640	8589312
5200873493	414330880	8663040
5300872257	421515264	8699904
5400872334	426766336	8728576
5500874549	436834304	8794112
5601585701	438464512	8798208
5700885197	444801024	8822784
5800873563	457162752	8835072
5900881835	462082048	8839168
6000874074	465199104	8863744
6100877179	469389312	8867840
6200878505	470061056	8900608
6300872885	476127232	8929280
6400872978	478347264	8941568
6500875324	475566080	8945664
6600884617	479948800	8945664
6700877905	479027200	8949760
6800909029	487424000	8970240
6900918575	494854144	8998912
7000876881	494510080	9003008
7100893641	501284864	9023488
7200891685	510324736	9048064
7300899991	517914624	9101312
7400880427	517042176	9117696
7500881103	519847936	9125888
7600890978	522047488	9138176
7700907281	526163968	9138176
7800892657	538054656	9216000
7900886000	523272192	9216000
8000893804	463073280	9281536
8100921749	447434752	9404416
8200874933	443539456	9424896
8300861842	444989440	9469952
8401509107	443760640	9474048
8500860892	447266816	9478144
8601065034	453242880	9482240
8700895677	447905792	9551872
8801864078	447791104	9601024
8900876651	442998784	9633792
9000894689	446394368	9637888
9100877054	449286144	9637888
9200865852	446455808	9670656
9300870856	457502720	9678848
9400878468	454713344	9678848
9500864302	460660736	9678848
9600877094	466776064	9678848
9700879346	471760896	9682944
9800875550	477229056	9687040
9900868238	481882112	9691136
10000896689	489205760	9691136
10100890668	492355584	9695232
10200884391	492613632	9695232
10300880160	495116288	9699328
10400898854	495632384	9785344
10500885405	489226240	10043392
10600936707	491610112	10117120
10700904275	496807936	10145792
10800865065	492232704	10252288
10900876726	498749440	10297344
11000867155	507940864	10326016
11100863004	506232832	10330112
11200878326	514678784	10334208
11300885362	519049216	10350592
11400877258	512417792	10354688
11500882042	517758976	10371072
11600865474	516018176	10416128
11700887790	500109312	10432512
11800876884	463175680	10498048
11900877911	470323200	10510336
12000892675	471240704	10514432
12100861712	467910656	10543104
12200886697	475766784	10551296
12300866228	476127232	10555392
12400877172	451620864	10600448
12500860432	445521920	10780672
12600878816	459333632	10780672
12700886827	472956928	10784768
12800875878	486162432	10784768
12900882339	501628928	10784768
13000879455	519917568	10809344
13100878341	530350080	10842112
13200881782	543019008	10862592
13300877800	550404096	10948608
13401094193	555413504	10960896
13500889340	557162496	10985472
13600883480	554708992	11022336
13700860890	547225600	11026432
13800876609	543694848	11059200
13901094082	546816000	11063296
