time	rss	kernel
0	573440	102400
100816749	21020672	2068480
200838572	31285248	2650112
300838388	45867008	2719744
400896727	49577984	2801664
500829634	55042048	3448832
600845284	68427776	3592192
700827890	85159936	3686400
800840443	97513472	5292032
900830094	156377088	5550080
1000891808	174690304	5967872
1100934856	190337024	6549504
1200836598	199032832	6688768
1300789580	207704064	6778880
1400826714	216530944	6897664
1500859014	219828224	6901760
1600881475	222146560	7057408
1700840908	261496832	7393280
1800865438	252346368	7413760
1900853355	263413760	7483392
2001570395	284131328	7557120
2100847240	288149504	7581696
2200831615	292261888	7675904
2301426708	304254976	7761920
2400945750	317759488	7892992
2502220619	327602176	7979008
2600845479	349040640	8048640
2700844617	341000192	8146944
2800895474	346656768	8323072
2900883452	346628096	8323072
3000891267	346841088	8323072
3100896598	346816512	8323072
3200894023	346775552	8323072
3300897760	347127808	8323072
3400891363	347037696	8327168
3500889778	347066368	8331264
3600891314	346988544	8331264
3700923444	346910720	8331264
3800892823	347590656	8331264
3900891213	347590656	8331264
4000894832	347516928	8331264
4100836308	347602944	8331264
4200906304	347746304	8331264
4300892623	347701248	8331264
4400893887	347664384	8331264
4500892279	347664384	8331264
4600831129	348307456	8331264
4700823033	360497152	8359936
4800857262	364486656	8392704
4900908430	370638848	8400896
5000862129	391831552	8478720
5100858797	396914688	8503296
5200881930	412979200	8552448
5300886439	423772160	8593408
5400887563	428859392	8601600
5500872404	437133312	8646656
5600842484	441950208	8683520
5700843657	452833280	8695808
5800856205	463687680	8699904
5900865918	460705792	8716288
6000886829	467910656	8724480
6100862609	470183936	8728576
6200842836	473927680	8732672
6300843692	479494144	8802304
6400841019	481914880	8802304
6500842081	478818304	8802304
6600855400	482742272	8810496
6700858254	484978688	8810496
6800887588	490647552	8847360
6900897200	498909184	8867840
7000903480	497610752	8867840
7100832345	504799232	8871936
7200850619	513101824	8896512
7300867343	521912320	8945664
7400839387	520159232	8953856
7500852541	521146368	8962048
7600843889	524787712	8966144
7700857153	523968512	8966144
7800841109	538812416	9048064
7900828779	503607296	9109504
8000827301	471085056	9146368
8100856306	452284416	9281536
8200847609	449220608	9281536
8300851042	448716800	9281536
8400848156	449183744	9281536
8500862624	453201920	9281536
8600857688	458588160	9285632
8700832536	444735488	9379840
8800830663	453373952	9388032
8900834681	446939136	9424896
9000831664	449761280	9424896
9100867202	453107712	9428992
9200859737	454340608	9433088
9300832807	459149312	9465856
9400844870	457715712	9474048
9500835997	460992512	9478144
9600840648	467988480	9478144
9700840820	472858624	9482240
9800850412	480133120	9482240
9900843000	484827136	9482240
10000843763	489078784	9482240
10100850956	491204608	9482240
10200836527	495628288	9482240
10300847828	496021504	9486336
10400839971	500625408	9486336
10501592448	495067136	9678848
10600864373	501571584	9859072
10700841784	499974144	9867264
10800827350	496734208	9945088
10900837589	499265536	9986048
11000843648	502390784	10014720
11100847747	511029248	10022912
11200840581	514314240	10031104
11300839033	519921664	10039296
11400842499	524845056	10072064
11500833381	519782400	10084352
11600830687	524255232	10104832
11700852719	502964224	10113024
11800854065	467312640	10178560
11900851654	477675520	10190848
12000843764	476610560	10190848
12100845545	473169920	10215424
12200850018	481927168	10219520
12300827548	478830592	10227712
12400848235	457265152	10293248
12500837665	447320064	10579968
12600841865	455712768	10616832
12700846760	472522752	10616832
12800858402	482844672	10620928
