time	rss	kernel
0	532480	53248
100721527	20955136	2138112
200750893	29343744	2600960
300757904	44064768	2674688
401066411	49074176	2732032
500732724	52252672	3383296
600956829	63766528	3493888
700749978	82161664	3682304
800754693	131186688	4857856
900756834	117727232	5193728
1000695564	172875776	5718016
1100750866	179982336	6262784
1200734660	198045696	6873088
1300753832	204419072	6914048
1400761931	231706624	7131136
1501251324	229380096	7217152
1600800906	232583168	7229440
1700796727	234938368	7254016
1800753387	248643584	7393280
1900744034	257110016	7393280
2001008410	268558336	7520256
2100806913	286978048	7626752
2200798440	286662656	7626752
2300746049	289038336	7757824
2400752267	323502080	7843840
2501426497	322781184	7938048
2601488040	331001856	8032256
2700765328	329150464	8130560
2800753673	341487616	8253440
2900805661	345550848	8265728
3000793920	345759744	8265728
3100761784	345825280	8265728
3200729253	346144768	8265728
3300753979	347967488	8302592
3400801762	348590080	8302592
3500801763	347185152	8306688
3600862572	347086848	8306688
3700818564	347140096	8306688
3800798798	347537408	8306688
3900792536	347729920	8306688
4000840289	347488256	8306688
4100835231	347418624	8306688
4200827277	347697152	8310784
4300797991	347697152	8310784
4400841623	347697152	8310784
4500830842	347738112	8310784
4600807795	347738112	8310784
4700757883	351326208	8335360
4800762512	363802624	8376320
4901254241	366809088	8400896
5000753541	378617856	8437760
5100753720	394985472	8499200
5200761943	398483456	8515584
5300742838	419794944	8589312
5400775323	425197568	8617984
5500754114	432234496	8634368
5600745992	441425920	8658944
5700767135	444723200	8683520
5800770190	458776576	8695808
5900750042	465657856	8712192
6000746525	465207296	8720384
6100747196	470220800	8732672
6200748445	473358336	8740864
6300765320	474394624	8761344
6400761477	481513472	8790016
6500738176	478572544	8790016
6600746076	479506432	8794112
6700759732	481517568	8794112
6800756021	483315712	8806400
6900752570	491835392	8826880
7000750221	495284224	8843264
7100753992	501248000	8847360
7200750044	507842560	8871936
7300758814	514179072	8896512
7400740312	519000064	8941568
7500753692	516034560	8945664
7600742220	525139968	8953856
7700753353	519503872	8957952
7800771475	521949184	8962048
7900738858	509890560	9109504
8000746536	507990016	9121792
8100749644	510398464	9125888
8200747664	513110016	9138176
8300750632	516972544	9150464
8400761182	524279808	9150464
8501294780	527851520	9162752
8600771268	535625728	9170944
8700758977	534360064	9183232
8800754225	497815552	9293824
8900760899	459366400	9424896
9000754888	464244736	9433088
9100764164	482181120	9445376
9200751874	475701248	9465856
9300736894	477884416	9469952
9400745430	477581312	9469952
9500755037	482136064	9474048
9600738296	488177664	9474048
9700750087	492593152	9474048
9800736022	498040832	9474048
9900744728	507310080	9486336
10000757340	505630720	9486336
10100754469	511295488	9490432
10200748092	512819200	9494528
10300753773	511696896	9494528
10400782546	511868928	9498624
10500796581	506327040	9576448
