time	rss	kernel
0	524288	69632
100694386	20516864	2097152
200711671	30785536	2695168
300722682	45629440	2748416
400737918	49377280	2789376
500695309	52592640	3379200
600714523	66744320	3481600
700698938	83910656	3575808
800705614	149225472	4726784
900909217	154882048	5550080
1000981108	174559232	6086656
1100704599	187449344	6426624
1200724895	198160384	6828032
1300718829	206696448	6905856
1400924598	215265280	7053312
1500690537	219906048	7090176
1600719585	222900224	7151616
1700692923	243695616	7434240
1800698544	249544704	7487488
1900705202	256110592	7528448
2000709423	273797120	7655424
2100707212	285093888	7757824
2201005057	285835264	7806976
2300749237	287641600	7823360
2400716906	307376128	7921664
2500754890	318050304	8048640
2600700919	326475776	8101888
2700691579	345325568	8130560
2800700552	339443712	8204288
2901247067	345362432	8339456
3000753909	345497600	8339456
3100757768	345784320	8355840
3200725942	347590656	8392704
3300752596	347762688	8392704
3400753055	347279360	8392704
3500757760	347336704	8392704
3600752284	347217920	8392704
3700760254	347172864	8392704
3800716008	347467776	8392704
3900760045	347598848	8392704
4000765414	347582464	8392704
4100692678	347840512	8392704
4200767716	347840512	8392704
4300752209	347840512	8392704
4400759957	347738112	8392704
4500758421	347869184	8392704
4600760122	347836416	8392704
4700757604	347836416	8392704
4800715913	358072320	8445952
4900704203	366915584	8466432
5000723177	369020928	8474624
5100705982	391733248	8552448
5201018929	397230080	8581120
5300713433	409882624	8626176
5400706912	423985152	8687616
5500703942	429576192	8704000
5600695733	437383168	8724480
5700703962	446922752	8753152
5800703190	455782400	8781824
5900704890	463618048	8790016
6000708909	466051072	8794112
6100826861	468975616	8810496
6201328506	472555520	8814592
6300711415	474886144	8822784
6400724183	479600640	8830976
6500709854	481939456	8871936
6600712738	479412224	8876032
6700713354	482205696	8876032
6800713072	481599488	8884224
6901412476	490029056	8896512
7001146215	498442240	8916992
7100714015	496545792	8929280
7200712302	504856576	8941568
7300698946	513011712	8986624
7400715862	514670592	8998912
7500704639	519434240	9031680
7600698507	519184384	9035776
7700706841	521289728	9052160
7800727210	523563008	9056256
7900705063	539906048	9105408
8000773316	536412160	9105408
8100753288	492568576	9183232
8200720844	451284992	9306112
8300715687	445485056	9306112
8400713251	448131072	9306112
8500709104	448552960	9306112
8600731077	452165632	9314304
8700696144	439517184	9416704
8800726357	443170816	9461760
8900716907	451235840	9461760
9000706619	452386816	9469952
9100724425	446365696	9469952
9200821041	451252224	9469952
9300716058	458088448	9469952
9400695455	461815808	9510912
9500696179	460075008	9515008
9600712589	465301504	9515008
9700710367	473899008	9515008
9800710580	477343744	9515008
9900708572	485658624	9515008
10000698187	488833024	9515008
10100710400	493633536	9519104
10200705551	496877568	9523200
10300710085	498483200	9523200
10400714880	501473280	9535488
10500704191	498954240	9601024
10600706632	493682688	9842688
10700727819	496836608	9916416
10800710127	502747136	9928704
10900705703	504397824	9928704
11000699549	478453760	9973760
11100710480	416120832	10354688
11200708402	430800896	10444800
11300700689	428908544	10461184
11400718450	424468480	10465280
11500708219	424734720	10473472
11600709590	439857152	10473472
11700709876	433012736	10489856
11800697044	433885184	10489856
11900719201	435585024	10489856
12001604966	432914432	10530816
12100705096	443940864	10534912
12200965952	437780480	10547200
12300722311	439459840	10559488
12400715012	443146240	10563584
12500750750	444350464	10571776
12600778793	444747776	10571776
12700711153	453394432	10571776
12800732894	462680064	10584064
12900709444	445865984	10584064
13000712833	458280960	10653696
13100714903	476319744	10653696
13200717061	493297664	10653696
13300724616	505004032	10674176
13400696599	518811648	10723328
13500745040	513843200	10756096
13600767291	518668288	10776576
13700733922	525635584	10813440
13800708072	525074432	10813440
13900739748	525815808	10813440
14000734135	525402112	10817536
14100720046	526417920	10821632
14200749072	530149376	10833920
14300775550	529174528	10850304
14400694033	541573120	10883072
14500698807	537251840	10883072
14600749512	544985088	10895360
14701555646	528461824	10895360
14800709308	544456704	10895360
14900724624	532500480	10903552
15000699970	535375872	10907648
15100992484	530841600	10940416
15200770024	526303232	10940416
15300812899	532025344	10944512
15400744449	533712896	10944512
15500724611	507879424	10948608
15600715504	492789760	10948608
15700721741	501309440	10948608
15800727653	499159040	10952704
15900714284	517464064	10952704
16000762135	514420736	11010048
16100776835	515497984	11014144
16200792265	529403904	11022336
16300773594	526127104	11026432
16400813296	527470592	11038720
16500816615	530010112	11038720
16600712470	533553152	11038720
16700713002	534134784	11038720
16800708668	536944640	11042816
16900697350	534847488	11046912
17000696153	537333760	11046912
17100706107	537640960	11046912
17200712688	537231360	11046912
17300707612	538255360	11046912
17400708428	545210368	11071488
17500714293	546557952	11071488
17600711472	546836480	11075584
17700687205	548626432	11079680
17800722749	544534528	11108352
17900725089	548667392	11124736
18000731367	553615360	11132928
18100714603	544559104	11132928
18200716286	549445632	11137024
18300710225	554119168	11137024
18400709234	562561024	11153408
18500720075	569298944	11194368
18600718320	563085312	11194368
18700716489	566427648	11194368
18800736124	564686848	11202560
18900734011	560594944	11210752
19000725534	576626688	11292672
19100708396	558514176	11354112
19200696545	554299392	11366400
19300709645	560881664	11366400
19400708466	561364992	11366400
19500700917	566415360	11366400
19600720212	568385536	11366400
19700710720	575643648	11374592
19800713694	568717312	11374592
19900714226	576147456	11378688
20000714677	578215936	11378688
20100708718	579850240	11378688
20200714838	588197888	11378688
20300726095	586461184	11382784
20400714255	591785984	11382784
20500707985	599769088	11399168
20600712565	604700672	11399168
20700709817	615022592	11415552
20800700466	605634560	12001280
20900708624	607141888	12001280
21000726010	529932288	13058048
21100728977	527384576	13623296
