time	rss	kernel
0	679936	143360
100700891	20652032	2265088
200730349	30961664	2719744
300730404	45891584	2772992
400724584	49401856	2822144
500725208	54353920	3477504
600961712	68325376	3624960
700728618	84422656	3723264
800740843	161767424	4947968
900718871	129716224	5468160
1000718315	173748224	5922816
1100724981	184209408	6279168
1200769936	198598656	6836224
1300715211	205615104	6930432
1401465819	214949888	7081984
1500724260	219873280	7106560
1600738314	223002624	7270400
1700715845	239939584	7430144
1800715528	249290752	7503872
1900711776	258605056	7536640
2000717187	281550848	7663616
2100773193	284151808	7663616
2200721463	285679616	7692288
2300728227	275402752	7720960
2400725246	324530176	7880704
2500714874	322494464	7979008
2600715254	331493376	8044544
2700700511	337362944	8146944
2800777486	344854528	8290304
2900749553	344551424	8290304
3000722050	345137152	8294400
3100711831	345341952	8294400
3200712254	347287552	8331264
3300780258	347525120	8331264
3400772829	346816512	8331264
3500776509	346759168	8331264
3600778864	346746880	8331264
3700781575	346906624	8331264
3800777602	347418624	8331264
3900781411	347176960	8331264
4000786556	347115520	8331264
4100775686	347115520	8331264
4200779247	347426816	8331264
4300783637	347418624	8331264
4400806949	347418624	8331264
4500775213	347549696	8331264
4600777708	347512832	8331264
4700764674	355536896	8396800
4800776656	365936640	8441856
4900925808	368160768	8454144
5004291887	389738496	8491008
5100777950	396685312	8503296
5200734878	406183936	8519680
5300756101	422752256	8577024
5400773805	428912640	8589312
5500745422	434434048	8605696
5600727135	445304832	8642560
5700729239	450965504	8671232
5800732689	462843904	8679424
5900742257	464826368	8687616
6000783664	465887232	8712192
6100801287	470622208	8720384
6200735209	471453696	8720384
6300731562	479555584	8732672
6400729891	480854016	8740864
6500729424	477716480	8744960
6600729091	480370688	8749056
6700728254	481046528	8749056
6800797145	484249600	8757248
6900757168	497074176	8802304
7000760063	495161344	8802304
7100748487	501669888	8826880
7200746590	511180800	8855552
7300730655	513298432	8871936
7400731108	518852608	8900608
7500730718	517361664	8908800
7600727951	522940416	8912896
7700717729	521453568	8912896
7800739717	522321920	8925184
7900773934	515309568	9011200
8000748600	515686400	9011200
8100725011	473395200	9134080
8200717068	463675392	9162752
8300743024	465985536	9166848
8400712246	470638592	9166848
8500728993	473161728	9166848
8600729690	482480128	9170944
8700727138	472014848	9228288
8800746083	472072192	9306112
8900730835	475488256	9310208
9000725178	470708224	9314304
9100713594	473354240	9314304
9200743322	479092736	9318400
9300734925	484143104	9355264
9400736067	483835904	9371648
9500729887	489041920	9371648
9600734271	497606656	9371648
9700726930	500969472	9371648
9800725654	510464000	9396224
9900711084	513613824	9400320
10000723686	518746112	9400320
10100723516	521461760	9408512
10200726864	523788288	9408512
10300750513	526520320	9412608
10400770910	526905344	9445376
10500739942	519098368	9760768
10600717523	520142848	9904128
10700746765	528179200	9932800
10801172942	516534272	9953280
10900714828	434147328	10354688
11000737926	436482048	10444800
11100737357	455041024	10461184
11200738066	445063168	10465280
11300731727	446468096	10469376
11400715702	444346368	10469376
11500728428	433250304	10473472
11600741428	435822592	10473472
11700712068	432082944	10489856
11800730301	441552896	10493952
11900714379	449802240	10502144
12000710101	456159232	10502144
12100722818	455401472	10502144
12200732155	453713920	10502144
12300717753	461496320	10502144
12400730109	460066816	10522624
12500719923	469671936	10543104
12600730020	484577280	10547200
12700732968	493367296	10551296
12800718561	468869120	10571776
12900712879	478425088	10584064
13000743391	497258496	10584064
13100746226	506945536	10584064
13200727894	521502720	10592256
13300740255	524140544	10637312
13400726360	525754368	10641408
13500721762	526217216	10649600
13600745626	531980288	10653696
13700719035	535019520	10653696
13800734914	536518656	10657792
13900723305	535781376	10657792
14000735088	541253632	10674176
14100724914	547471360	10711040
14200712131	552075264	10752000
14300727414	562728960	10756096
14400743388	570118144	10772480
14500734103	545116160	10776576
14600723106	538779648	10776576
14700742704	556158976	10776576
14800742147	540524544	10780672
14900745616	542965760	10801152
15000740173	541249536	10813440
15100734622	545497088	10846208
15200712282	530382848	11350016
15300726633	531755008	11493376
15400716248	534925312	11505664
15500724222	541052928	11526144
15600729443	534806528	11538432
15700710209	542892032	11542528
15800711953	537202688	11571200
15900721507	543711232	11599872
16000723446	550776832	11603968
16100719013	545529856	11616256
16200710207	490602496	11821056
16300723479	499412992	11821056
16400729396	499593216	11845632
16500723357	502190080	11845632
16600725395	502636544	11849728
16700743097	503631872	11849728
16800734180	508448768	11849728
16900724262	506765312	11849728
17000724195	504262656	11853824
17100744766	505651200	11853824
17200727647	507707392	11853824
17300728273	507072512	11853824
17400710502	513191936	11857920
17500711898	513204224	11857920
17600713166	512552960	11857920
17700738442	515743744	11857920
17800728289	513761280	11862016
17900734552	520364032	11866112
18000722959	521125888	11890688
18100727203	523350016	11894784
18200735616	528883712	11894784
18300727462	535592960	11898880
18400721272	542183424	11898880
18500713236	551497728	11898880
18600722033	551227392	11915264
18700909017	507195392	12304384
18800738668	504442880	12308480
18900745849	476590080	12795904
19000751128	468066304	12931072
19100740304	472797184	12959744
19200712863	473722880	12980224
19300736727	474841088	13119488
19400712007	473755648	13119488
19500741426	480968704	13119488
19600733676	481419264	13119488
19701458601	484147200	13119488
19800743988	482918400	13119488
19901385742	488615936	13119488
20000725227	491429888	13119488
20100713397	485277696	13135872
20200723720	488656896	13139968
20300733078	476483584	13148160
20400714713	479555584	13148160
20500723600	482037760	13148160
20600729043	489025536	13148160
20700733950	486318080	13148160
20800733648	490459136	13148160
20900730425	497762304	13148160
21000736328	501063680	13148160
21100757637	506740736	13148160
21200711326	507699200	13148160
