time	rss	kernel
0	557056	102400
100699630	20926464	2138112
200695674	31125504	2658304
300723018	45694976	2715648
400696875	49176576	2744320
500707249	54124544	3436544
600712605	68390912	3551232
700707918	84410368	3710976
800710501	156626944	4976640
900738428	142135296	5517312
1001952704	148709376	5898240
1102699104	161292288	6483968
1201699323	197509120	6811648
1300700673	205635584	6922240
1400713016	214843392	7077888
1500703744	220012544	7163904
1600755717	219877376	7163904
1700759733	219877376	7163904
1800750201	219877376	7163904
1900762319	219877376	7163904
2000763961	219877376	7163904
2100670431	219860992	7163904
2200706043	223977472	7266304
2300694182	242913280	7614464
2400719658	252284928	7659520
2500691383	260964352	7704576
2600694642	270987264	7745536
2701710002	284602368	7827456
2801086927	285757440	7843840
2900712089	277323776	7852032
3000710342	311373824	7950336
3100715418	322637824	7999488
3200699095	331145216	8019968
3300698931	328339456	8118272
3400714292	334852096	8151040
3501383766	345501696	8306688
3600759272	345497600	8306688
3700730135	347074560	8306688
3800706008	347140096	8343552
3900692488	347881472	8343552
4000763139	346877952	8343552
4100760959	347140096	8343552
4200759595	347295744	8343552
4300752734	347279360	8343552
4400755431	347336704	8343552
4500752681	347762688	8347648
4600757579	347824128	8347648
4700757020	347709440	8347648
4800717174	347709440	8347648
4900759679	347709440	8347648
5000753955	347963392	8347648
5100757624	347996160	8347648
5200766601	347996160	8347648
5300720867	352759808	8392704
5400728846	365576192	8433664
5500711337	368254976	8462336
5600728845	385146880	8491008
5700712102	396382208	8527872
5800709761	404320256	8564736
5900707092	422473728	8634368
6000715819	428576768	8638464
6100724143	434757632	8658944
6200719907	445988864	8679424
6300715266	452210688	8708096
6400701266	459202560	8712192
6500711110	466272256	8728576
6600734279	467505152	8740864
6700710692	471744512	8749056
6800701073	473640960	8757248
6900711997	477343744	8765440
7000719154	482078720	8790016
7100712884	479109120	8790016
7200709732	480104448	8794112
7300709181	484167680	8794112
7400710834	483741696	8802304
7500726466	491642880	8835072
7600720142	495517696	8847360
7700712475	501907456	8851456
7800711460	508100608	8867840
7900720661	515424256	8900608
8000730503	523644928	8941568
8100720842	517722112	8945664
8200714761	524832768	8953856
8300720230	519860224	8953856
8400700099	523321344	8957952
8501536015	539979776	9043968
8600755234	509116416	9117696
8700736844	447754240	9293824
8800716835	432685056	9351168
8900718593	425443328	9383936
9000712066	431185920	9396224
9100735226	433483776	9396224
9200711347	436862976	9404416
9300732116	441610240	9408512
9400700067	448307200	9412608
9500712547	443543552	9412608
9600709575	450371584	9412608
9700714280	454041600	9412608
9800710067	450285568	9445376
9900696741	461434880	9449472
10001727809	459063296	9449472
10100707223	463208448	9449472
10200711844	470790144	9453568
10300707330	475725824	9453568
10400727078	481222656	9457664
10500708698	485646336	9457664
10600734283	492560384	9457664
10700720683	492515328	9461760
10800713953	496336896	9461760
10900714272	498032640	9474048
11000698543	498962432	9515008
11100713757	494886912	9736192
11200705712	500367360	9797632
11300721245	502349824	9801728
11400770255	502616064	9801728
11500726463	504233984	9863168
11601437089	519774208	9895936
11700737139	519467008	9900032
11800771002	523620352	9904128
11901975378	524292096	9912320
12000728680	461025280	9916416
12100717733	450097152	10186752
12200744580	435916800	10514432
12301181443	437055488	10584064
12400750182	442077184	10600448
12501294527	450240512	10690560
12600703025	461565952	10694656
12700733282	472432640	10698752
12801435790	457232384	10711040
12900697608	454868992	10719232
13000908055	464519168	10723328
13100696999	461025280	10731520
13200708776	467218432	10739712
13300708412	482074624	10743808
13400724110	495792128	10747904
13500693891	509464576	10752000
13600715763	521121792	10752000
13700712600	521928704	10756096
13800716587	494772224	10878976
13900718209	509288448	10895360
14000713910	527147008	10944512
14100728679	528105472	10956800
14200728778	521949184	10964992
14300716649	531333120	10964992
14400721678	531611648	10964992
