allocator	score	rss	uss	pid	exe
mesh0n	52.94	356524032	202530816	19586	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh0y	48.92	331677696	170373120	19847	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh2y	49.76	333869056	173871104	20527	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	50.97	355229696	201101312	20865	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
mesh0n	52.76	356794368	203223040	21117	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh0y	50.56	329719808	169803776	21602	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	50.61	355069952	201560064	22375	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
mesh0n	52.30	348114944	194633728	22655	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh0y	49.95	329326592	168337408	22927	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh1y	50.45	328908800	167841792	23186	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh2y	48.99	330129408	170627072	23466	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	50.64	356569088	202612736	23748	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
mesh0n	52.29	346673152	194203648	23996	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh0y	50.43	329129984	168079360	24270	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh1y	49.47	330448896	170397696	24515	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	50.79	354365440	200433664	25116	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
mesh1y	49.77	330813440	170795008	25920	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh2y	49.22	329048064	169431040	26176	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
jemalloc	50.55	357515264	203116544	26436	/opt/firefox-57.0.4-jemalloc/lib/firefox-57.0.4/firefox
mesh0n	52.63	357720064	204107776	26712	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh0y	50.15	329498624	167690240	26972	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh1y	50.20	329805824	169381888	27232	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
mesh2y	49.79	330235904	169275392	27479	/opt/firefox-57.0.4-nojemalloc/lib/firefox-57.0.4/firefox
